Official symbol for Interactor A,Official symbol for Interactor B,Organism ID for Interactor A,Organism ID for Interactor B,Interaction Throughput,Quantitative Score,Genes,Log2FoldChange,FoldChange,Regulation
STX11,EXOC4,Homo sapiens,Homo sapiens,High Throughput,0.997912424,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,GOSR1,Homo sapiens,Homo sapiens,High Throughput,0.999275907,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,VAMP4,Homo sapiens,Homo sapiens,High Throughput,0.998961866,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,VTI1B,Homo sapiens,Homo sapiens,High Throughput,0.985638,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STXBP2,Homo sapiens,Homo sapiens,High Throughput,0.999999982,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,YKT6,Homo sapiens,Homo sapiens,High Throughput,0.980427313,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,PPFIA1,Homo sapiens,Homo sapiens,High Throughput,0.98407255,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,LOH12CR1,Homo sapiens,Homo sapiens,High Throughput,0.961941138,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,VAMP8,Homo sapiens,Homo sapiens,High Throughput,0.999963303,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,VAMP3,Homo sapiens,Homo sapiens,High Throughput,0.99945366,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,VAMP3,Homo sapiens,Homo sapiens,High Throughput,0.999538458,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,DISC1,Homo sapiens,Homo sapiens,High Throughput,0.999599087,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STX10,Homo sapiens,Homo sapiens,High Throughput,0.997058175,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,SIKE1,Homo sapiens,Homo sapiens,High Throughput,0.984101577,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STXBP1,Homo sapiens,Homo sapiens,High Throughput,0.999999998,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STXBP2,Homo sapiens,Homo sapiens,High Throughput,0.999999974,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STXBP1,Homo sapiens,Homo sapiens,High Throughput,0.999999995,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,YKT6,Homo sapiens,Homo sapiens,High Throughput,0.986984912,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,EXOC7,Homo sapiens,Homo sapiens,High Throughput,0.985917049,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,KIF7,Homo sapiens,Homo sapiens,High Throughput,0.998299523,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,CDR2,Homo sapiens,Homo sapiens,High Throughput,0.953403986,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STXBP5,Homo sapiens,Homo sapiens,High Throughput,0.999941234,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,EXOC5,Homo sapiens,Homo sapiens,High Throughput,0.993786569,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,ANKHD1-EIF4EBP3,Homo sapiens,Homo sapiens,High Throughput,0.999993445,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,ANKHD1-EIF4EBP3,Homo sapiens,Homo sapiens,High Throughput,0.999984125,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,VAMP8,Homo sapiens,Homo sapiens,High Throughput,0.999928563,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,CCHCR1,Homo sapiens,Homo sapiens,High Throughput,0.907810443,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,EXOC7,Homo sapiens,Homo sapiens,High Throughput,0.991714092,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,HSBP1,Homo sapiens,Homo sapiens,High Throughput,0.999953639,STX11,1.69722295900474,3.24276158823784,UpRegulated
SNAP25,STX11,Homo sapiens,Homo sapiens,High Throughput,3.0,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,BRK1,Homo sapiens,Homo sapiens,High Throughput,0.997404085,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,KIF7,Homo sapiens,Homo sapiens,High Throughput,0.998261464,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,ANKHD1,Homo sapiens,Homo sapiens,High Throughput,0.999597896,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,PDZRN3,Homo sapiens,Homo sapiens,High Throughput,0.999975137,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STX8,Homo sapiens,Homo sapiens,High Throughput,0.9983802,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,PSMA3,Homo sapiens,Homo sapiens,High Throughput,2.0,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,PDZRN3,Homo sapiens,Homo sapiens,High Throughput,0.999988878,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,EXOC5,Homo sapiens,Homo sapiens,High Throughput,0.993693549,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STX8,Homo sapiens,Homo sapiens,High Throughput,0.997198546,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STX10,Homo sapiens,Homo sapiens,High Throughput,0.994019884,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,REPS1,Homo sapiens,Homo sapiens,High Throughput,0.996072388,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STX6,Homo sapiens,Homo sapiens,High Throughput,0.994839377,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,GOSR1,Homo sapiens,Homo sapiens,High Throughput,0.9989107,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,SLC38A2,Homo sapiens,Homo sapiens,High Throughput,1.0,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,PSMC3,Homo sapiens,Homo sapiens,High Throughput,1.0,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,PPFIA1,Homo sapiens,Homo sapiens,High Throughput,0.950251017,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,TBK1,Homo sapiens,Homo sapiens,High Throughput,0.999821946,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,SSFA2,Homo sapiens,Homo sapiens,High Throughput,0.963391331,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,TBK1,Homo sapiens,Homo sapiens,High Throughput,0.999854935,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,FKBP15,Homo sapiens,Homo sapiens,High Throughput,0.943800918,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,SIKE1,Homo sapiens,Homo sapiens,High Throughput,0.967917447,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,HSBP1,Homo sapiens,Homo sapiens,High Throughput,0.99983936,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,SCNN1D,Homo sapiens,Homo sapiens,High Throughput,0.999999881,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,DISC1,Homo sapiens,Homo sapiens,High Throughput,0.999483486,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STX6,Homo sapiens,Homo sapiens,High Throughput,0.986421911,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,ANKHD1,Homo sapiens,Homo sapiens,High Throughput,0.999844572,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,REPS1,Homo sapiens,Homo sapiens,High Throughput,0.985075775,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,STXBP5,Homo sapiens,Homo sapiens,High Throughput,0.999765437,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,ANKRD17,Homo sapiens,Homo sapiens,High Throughput,0.989228567,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,SNAP29,Homo sapiens,Homo sapiens,High Throughput,0.998865475,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,ANKRD17,Homo sapiens,Homo sapiens,High Throughput,0.990126871,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,PCYT1A,Homo sapiens,Homo sapiens,High Throughput,0.948850768,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,SCNN1D,Homo sapiens,Homo sapiens,High Throughput,0.999999055,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,EXOC6,Homo sapiens,Homo sapiens,High Throughput,0.997943794,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,SNAP23,Homo sapiens,Homo sapiens,High Throughput,0.918872409,STX11,1.69722295900474,3.24276158823784,UpRegulated
STX11,EXOC4,Homo sapiens,Homo sapiens,High Throughput,0.99891078,STX11,1.69722295900474,3.24276158823784,UpRegulated
DDX39A,HLA-L,Homo sapiens,Homo sapiens,High Throughput,2.403747196,HLA-L,1.69713702566069,3.24256844066309,UpRegulated
TCF4,ID1,Homo sapiens,Homo sapiens,High Throughput,0.999999476,ID1,-1.69131120700481,3.22950086581108,DownRegulated
ASCL4,ID1,Homo sapiens,Homo sapiens,High Throughput,0.999932459,ID1,-1.69131120700481,3.22950086581108,DownRegulated
TCF4,ID1,Homo sapiens,Homo sapiens,High Throughput,0.999999998,ID1,-1.69131120700481,3.22950086581108,DownRegulated
NHLH2,ID1,Homo sapiens,Homo sapiens,High Throughput,0.999911322,ID1,-1.69131120700481,3.22950086581108,DownRegulated
IL1A,BPTF,Homo sapiens,Homo sapiens,High Throughput,0.999954468,IL1A,1.6784696096585,3.20088225851045,UpRegulated
IL1A,RFWD2,Homo sapiens,Homo sapiens,High Throughput,0.995585616,IL1A,1.6784696096585,3.20088225851045,UpRegulated
GML,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.996431147,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,NCS1,Homo sapiens,Homo sapiens,High Throughput,0.993454487,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,FOXF1,Homo sapiens,Homo sapiens,High Throughput,0.986360625,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,NT5C1A,Homo sapiens,Homo sapiens,High Throughput,0.992274969,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,GIT2,Homo sapiens,Homo sapiens,High Throughput,0.998362758,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,WDFY3,Homo sapiens,Homo sapiens,High Throughput,0.989554129,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
AREG,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.99816591,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
TUBA4A,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.986136183,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,FOXF1,Homo sapiens,Homo sapiens,High Throughput,0.997374165,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,ARHGEF7,Homo sapiens,Homo sapiens,High Throughput,0.999819521,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PAK2,Homo sapiens,Homo sapiens,High Throughput,0.988932517,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,ARHGEF6,Homo sapiens,Homo sapiens,High Throughput,0.999199282,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
AREG,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.997621126,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,VDAC1,Homo sapiens,Homo sapiens,High Throughput,1.53682552,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,NT5C1A,Homo sapiens,Homo sapiens,High Throughput,0.930586322,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PAK2,Homo sapiens,Homo sapiens,High Throughput,0.985039533,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
EDA2R,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.999195499,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,LOC260334,Homo sapiens,Homo sapiens,High Throughput,0.941553914,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,GIT1,Homo sapiens,Homo sapiens,High Throughput,0.999938179,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,FAM118B,Homo sapiens,Homo sapiens,High Throughput,0.906177509,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,CANX,Homo sapiens,Homo sapiens,High Throughput,1.52316419,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PAK1,Homo sapiens,Homo sapiens,High Throughput,0.999979591,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PKM,Homo sapiens,Homo sapiens,High Throughput,1.458696852,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,SFXN1,Homo sapiens,Homo sapiens,High Throughput,1.474303297,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PRDX3,Homo sapiens,Homo sapiens,High Throughput,1.490914,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
AIFM1,ICAM1,Homo sapiens,Homo sapiens,High Throughput,1.46149849,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,IDH2,Homo sapiens,Homo sapiens,High Throughput,1.507733212,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,VDAC3,Homo sapiens,Homo sapiens,High Throughput,1.510123294,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,ATP5O,Homo sapiens,Homo sapiens,High Throughput,1.511247046,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PRDX5,Homo sapiens,Homo sapiens,High Throughput,1.516070407,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,RAB11A,Homo sapiens,Homo sapiens,High Throughput,1.522266663,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,HSPA5,Homo sapiens,Homo sapiens,High Throughput,1.532099131,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,OCIAD2,Homo sapiens,Homo sapiens,High Throughput,1.547181381,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,HADHB,Homo sapiens,Homo sapiens,High Throughput,1.568730141,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PHB,Homo sapiens,Homo sapiens,High Throughput,1.579189173,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,SLC25A4,Homo sapiens,Homo sapiens,High Throughput,1.602271113,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,SLC25A3,Homo sapiens,Homo sapiens,High Throughput,1.604166536,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PHB2,Homo sapiens,Homo sapiens,High Throughput,1.619700236,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,ACTB,Homo sapiens,Homo sapiens,High Throughput,1.65168046,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,RAB7A,Homo sapiens,Homo sapiens,High Throughput,1.662327091,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,HSPA9,Homo sapiens,Homo sapiens,High Throughput,1.67192893,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,HADHA,Homo sapiens,Homo sapiens,High Throughput,1.67564646,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,SCCPDH,Homo sapiens,Homo sapiens,High Throughput,1.675756936,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,ATP5A1,Homo sapiens,Homo sapiens,High Throughput,1.694003309,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PEX1,Homo sapiens,Homo sapiens,High Throughput,0.911499278,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
NUDT13,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.998304273,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ATP5L,ICAM1,Homo sapiens,Homo sapiens,High Throughput,1.461630431,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
GOT1,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.999994401,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,AHR,Homo sapiens,Homo sapiens,High Throughput,0.946346342,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
NAT1,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.999609318,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,TUBB3,Homo sapiens,Homo sapiens,High Throughput,0.920582525,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
CIDEA,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.973565628,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PAK1,Homo sapiens,Homo sapiens,High Throughput,0.999965268,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
WISP2,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.977258835,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
WDR5,ICAM1,Homo sapiens,Homo sapiens,High Throughput,197.0,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,ARHGEF6,Homo sapiens,Homo sapiens,High Throughput,0.999498218,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,GIT1,Homo sapiens,Homo sapiens,High Throughput,0.999813508,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,WDFY3,Homo sapiens,Homo sapiens,High Throughput,0.994214441,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,OTULIN,Homo sapiens,Homo sapiens,High Throughput,0.970101206,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
CLIC4,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.964471617,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
TWF1,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.964471617,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,PEX1,Homo sapiens,Homo sapiens,High Throughput,0.95379838,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,GIT2,Homo sapiens,Homo sapiens,High Throughput,0.997470081,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
CARKD,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.980754076,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
EDA2R,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.996539541,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,NCS1,Homo sapiens,Homo sapiens,High Throughput,0.99579961,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
NAT1,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.999967768,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
GCAT,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.974350618,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
DHDH,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.99072601,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,DHTKD1,Homo sapiens,Homo sapiens,High Throughput,0.929373635,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
RSPH14,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.974519586,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
SLC25A22,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.985255106,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
NUDT13,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.964180674,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
CYB5R3,ICAM1,Homo sapiens,Homo sapiens,High Throughput,1.73180882,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
ICAM1,ARHGEF7,Homo sapiens,Homo sapiens,High Throughput,0.999904171,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
CIDEA,ICAM1,Homo sapiens,Homo sapiens,High Throughput,0.998953479,ICAM1,1.66923465166507,3.18045825734968,UpRegulated
CAMK1G,RFWD3,Homo sapiens,Homo sapiens,High Throughput,0.994991928,CAMK1G,1.62005463372036,3.07386676527565,UpRegulated
CAMK1G,KSR1,Homo sapiens,Homo sapiens,High Throughput,3.498,CAMK1G,1.62005463372036,3.07386676527565,UpRegulated
CAMK1G,ZBTB44,Homo sapiens,Homo sapiens,High Throughput,0.999991516,CAMK1G,1.62005463372036,3.07386676527565,UpRegulated
CAMK1D,CAMK1G,Homo sapiens,Homo sapiens,High Throughput,0.998970457,CAMK1G,1.62005463372036,3.07386676527565,UpRegulated
CAMK1G,RFWD3,Homo sapiens,Homo sapiens,High Throughput,0.980252169,CAMK1G,1.62005463372036,3.07386676527565,UpRegulated
CAMK1D,CAMK1G,Homo sapiens,Homo sapiens,High Throughput,0.999923361,CAMK1G,1.62005463372036,3.07386676527565,UpRegulated
CAMK1G,ZBTB44,Homo sapiens,Homo sapiens,High Throughput,0.999997728,CAMK1G,1.62005463372036,3.07386676527565,UpRegulated
CAMK1G,CD22,Homo sapiens,Homo sapiens,High Throughput,2.702,CAMK1G,1.62005463372036,3.07386676527565,UpRegulated
CAMK1G,EPHA2,Homo sapiens,Homo sapiens,High Throughput,3.161,CAMK1G,1.62005463372036,3.07386676527565,UpRegulated
CAMK1G,MAP2K5,Homo sapiens,Homo sapiens,High Throughput,3.386,CAMK1G,1.62005463372036,3.07386676527565,UpRegulated
HS3ST3B1,ZER1,Homo sapiens,Homo sapiens,High Throughput,0.926718107,HS3ST3B1,1.51283989778386,2.85371230485292,UpRegulated
HS3ST3B1,ATL3,Homo sapiens,Homo sapiens,High Throughput,0.999961638,HS3ST3B1,1.51283989778386,2.85371230485292,UpRegulated
HS3ST3B1,ARHGAP40,Homo sapiens,Homo sapiens,High Throughput,0.954606321,HS3ST3B1,1.51283989778386,2.85371230485292,UpRegulated
HLA-DPA1,HS3ST3B1,Homo sapiens,Homo sapiens,High Throughput,0.999812135,HS3ST3B1,1.51283989778386,2.85371230485292,UpRegulated
CCL3,HS3ST3B1,Homo sapiens,Homo sapiens,High Throughput,0.995165249,HS3ST3B1,1.51283989778386,2.85371230485292,UpRegulated
FTL,HS3ST3B1,Homo sapiens,Homo sapiens,High Throughput,0.999528951,HS3ST3B1,1.51283989778386,2.85371230485292,UpRegulated
ETS1,SPTBN4,Homo sapiens,Homo sapiens,High Throughput,0.999824481,ETS1,1.50201262659304,2.83237566551989,UpRegulated
ADM,NAP1L5,Homo sapiens,Homo sapiens,High Throughput,0.999999599,ADM,-1.50043028357346,2.82927082851096,DownRegulated
DDX39A,ADM,Homo sapiens,Homo sapiens,High Throughput,2.037957348,ADM,-1.50043028357346,2.82927082851096,DownRegulated
EMC4,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.999345864,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
WHSC1,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,20.64772078,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
EBF2,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.990076683,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
MRM1,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.993449092,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
C16orf70,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.959326513,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
PPP2R2B,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.996706992,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
THAP10,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.993458464,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
UBE2U,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.999926682,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
GC,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,14.12855999,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
AIFM1,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.998396388,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
CDK15,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.931515501,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
GNG8,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.995582468,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
TEFM,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.999978824,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
TMEM176B,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.968538757,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
TBC1D22B,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.999318936,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
TCEB3B,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.999471524,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
PHF11,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.996210147,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
DDX31,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.999299287,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
DDX19B,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.999211763,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
GDPD1,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.997466021,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
DDX60,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.977515316,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
SFXN4,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.991884249,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
ZIC1,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.998134994,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
FMNL2,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.914338505,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
SNX27,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.994037923,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
PRSS16,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.998015708,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
NRSN1,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.927408732,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
DDX31,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.999328015,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
PLD5,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.984979274,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
C16orf70,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.979529615,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
GDPD1,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.993415838,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
STX17,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.954688967,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
TBC1D22B,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.999615929,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
STATH,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,12.72209779,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
MPI,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.936358512,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
GJB5,SERPINA3,Homo sapiens,Homo sapiens,High Throughput,0.992191915,SERPINA3,1.47104432115442,2.77222493574562,UpRegulated
