Gene,Disease
CYP1A1,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Leukemia, Cervix carcinoma, Liver neoplasms, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Diffuse Large B-Cell Lymphoma, Brain Neoplasms, Malignant neoplasm of lung, Fibroid Tumor, Chronic Lymphocytic Leukemia, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Endometrial Neoplasms, Carcinoma of lung, Stomach Carcinoma, Colon Carcinoma, Malignant neoplasm of stomach, Lip and Oral Cavity Carcinoma, Primary malignant neoplasm of lung, Breast Carcinoma, Thyroid carcinoma, Tumor Promotion, Small cell carcinoma of lung, Acute lymphocytic leukemia, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, precancerous lesions, Carcinoma of bladder, Experimental Organism Basal Cell Carcinoma, Malignant Head and Neck Neoplasm, Renal Cell Carcinoma, Infiltrating Cervical Carcinoma, Solid Neoplasm, Endometrial Carcinoma, Adenocarcinoma of lung (disorder), Colorectal Carcinoma, Uterine Cervical Neoplasm, Esophageal Neoplasms, Neoplasms, Precursor B-cell lymphoblastic leukemia, Colorectal Cancer, Squamous cell carcinoma of the head and neck, Invasive carcinoma of breast, Primary malignant neoplasm, Precursor Cell Lymphoblastic Leukemia Lymphoma, Malignant Neoplasms, Malignant neoplasm of thyroid, Tumor Initiation, Carcinoma of larynx, Malignant neoplasm of larynx, Kidney Neoplasm, Skin carcinoma, Oral Cavity Carcinoma, Renal carcinoma, Malignant neoplasm of esophagus, Head and Neck Neoplasms, GASTRIC CANCER, Childhood Acute Lymphoblastic Leukemia, Squamous cell carcinoma of esophagus, Acute leukemia, Esophageal carcinoma, gallbladder neoplasm, Malignant melanoma, Childhood Leukemia, T-Cell Lymphoma, Carcinoma of ampulla of Vater, Bile duct carcinoma, Malignant neoplasm of kidney, Adenocarcinoma of colon, Cholangiocarcinoma, Squamous cell carcinoma of lung, Gastric Adenocarcinoma, Adenocarcinoma of large intestine, Breast Cancer"
CYP1B1,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Leukemia, Cervix carcinoma, Liver neoplasms, leukemia, Pancreatic carcinoma, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Malignant neoplasm of lung, Fibroid Tumor, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Endometrial Neoplasms, Carcinoma of lung, Stomach Carcinoma, Malignant neoplasm of stomach, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Acute lymphocytic leukemia, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, ovarian neoplasm, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Mouth Neoplasms, Carcinoma of bladder, Malignant Head and Neck Neoplasm, Renal Cell Carcinoma, Endometrial Carcinoma, Adenocarcinoma of lung (disorder), Carcinoma, Colorectal Carcinoma, Pancreatic Ductal Adenocarcinoma, Esophageal Neoplasms, Neoplasms, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Squamous cell carcinoma of the head and neck, Invasive carcinoma of breast, Urothelial Carcinoma, Primary malignant neoplasm, Precursor Cell Lymphoblastic Leukemia Lymphoma, Malignant Neoplasms, Stage IV Ovarian Carcinoma, Tumor Initiation, Carcinoma of larynx, Precancerous Conditions, Malignant neoplasm of larynx, Kidney Neoplasm, Renal carcinoma, Malignant neoplasm of esophagus, Head and Neck Neoplasms, Childhood Acute Lymphoblastic Leukemia, Choriocarcinoma, Squamous cell carcinoma of esophagus, Esophageal carcinoma, Recurrent tumor, Preleukemia, Mammary Tumorigenesis, Head and Neck Carcinoma, Malignant neoplasm of kidney, Breast Cancer, Lung Cancer"
DKK1,"Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Malignant tumor of cervix, Neoplasm Metastasis, Mammary Neoplasms, Leukemia, Cervix carcinoma, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Brain Neoplasms, Malignant neoplasm of lung, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Colonic Neoplasms, Carcinoma of lung, Colon Carcinoma, Osteosarcoma of bone, Lip and Oral Cavity Carcinoma, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Secondary malignant neoplasm of bone, Thyroid carcinoma, Tumor Promotion, Acute Promyelocytic Leukemia, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, Prostatic Neoplasms, Malignant neoplasm of prostate, Malignant Head and Neck Neoplasm, Hematopoietic Neoplasms, Renal Cell Carcinoma, Colorectal Carcinoma, Pancreatic Ductal Adenocarcinoma, Esophageal Neoplasms, Neoplasms, Chondrosarcoma, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Primary malignant neoplasm, Malignant Neoplasms, Malignant neoplasm of thyroid, Adenocarcinoma Of Esophagus, Metastatic Neoplasm, Disseminated Malignant Neoplasm, Papillary thyroid carcinoma, Oral Cavity Carcinoma, Renal carcinoma, Malignant neoplasm of esophagus, Choriocarcinoma, Esophageal carcinoma, Childhood Osteosarcoma, Trophoblastic Neoplasms, Conventional (Clear Cell) Renal Cell Carcinoma, Oropharyngeal Carcinoma, Malignant neoplasm of kidney, Triple Negative Breast Neoplasms, Squamous cell carcinoma of tongue, Breast Cancer"
DNAJB1,"Non-Small Cell Lung Carcinoma, Neoplasm Metastasis, Liver neoplasms, Tumor Progression, Liver carcinoma, Malignant neoplasm of liver, Renal Cell Carcinoma, Liver and Intrahepatic Biliary Tract Carcinoma"
DNAJB4,"Non-Small Cell Lung Carcinoma, Lung Neoplasms, Neoplasm Metastasis, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Carcinoma of lung, Stomach Carcinoma, Malignant neoplasm of stomach, Primary malignant neoplasm of lung, Breast Carcinoma, Adenocarcinoma of lung (disorder), Hereditary Diffuse Gastric Cancer"
DUSP2,"Ovarian Carcinoma, Mammary Neoplasms, leukemia, Epithelial ovarian cancer, Brain Neoplasms, Malignant neoplasm of lung, Chronic Lymphocytic Leukemia, Malignant neoplasm of breast, Carcinoma of lung, B-Cell Lymphomas, Colon Carcinoma, Primary malignant neoplasm of lung, Breast Carcinoma, Prostate carcinoma, Malignant tumor of colon, Malignant neoplasm of prostate, Pancreatic Ductal Adenocarcinoma, Nodular Lymphocyte Predominant Hodgkin Lymphoma, Metastatic Neoplasm, Acute leukemia, Malignant lymphoma, Adenocarcinoma of prostate"
EGOT,"Renal Cell Carcinoma, Neoplasms"
ETS1,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Neoplasm Metastasis, Leukemia, Kaposi Sarcoma, Mammary Neoplasms, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Diffuse Large B-Cell Lymphoma, Brain Neoplasms, Malignant neoplasm of lung, Fibroid Tumor, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Nasopharyngeal carcinoma, Endometrial Neoplasms, Carcinoma of lung, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Malignant neoplasm of stomach, Lip and Oral Cavity Carcinoma, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Secondary malignant neoplasm of bone, Thyroid carcinoma, M5b Acute differentiated monocytic leukemia, Colorectal Neoplasms, Acute monocytic leukemia, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Prostatic Neoplasms, Squamous cell carcinoma, Malignant neoplasm of prostate, Endometrial adenocarcinoma, Malignant neoplasm of urinary bladder, Pancreatic Neoplasm, Carcinoma of bladder, Hematologic Neoplasms, Hematopoietic Neoplasms, Solid Neoplasm, Endometrial Carcinoma, Adenocarcinoma of lung (disorder), Acute myelomonocytic leukemia, Colorectal Carcinoma, Uterine Cervical Neoplasm, Pancreatic Ductal Adenocarcinoma, Metastatic melanoma, Myeloid Leukemia, Esophageal Neoplasms, Sarcoma, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Squamous cell carcinoma of the head and neck, Invasive carcinoma of breast, Monocytic leukemia, Primary malignant neoplasm, Malignant Neoplasms, Tumor Initiation, Precancerous Conditions, Neoplasm Invasiveness, Kidney Neoplasm, Metastatic Neoplasm, Thyroid Neoplasm, Malignant neoplasm of esophagus, Ki-1+ Anaplastic Large Cell Lymphoma, Follicular thyroid carcinoma, Squamous cell carcinoma of esophagus, Acute leukemia, Carcinoma, Esophageal carcinoma, Anaplastic carcinoma, Lymphoid leukemia, T-Cell Lymphoma, Burkitt Lymphoma, Precursor T-Cell Lymphoblastic Leukemia-Lymphoma, Bile duct carcinoma, Triple Negative Breast Neoplasms, Carcinoid Tumor, Gastric Adenocarcinoma, Adenocarcinoma of large intestine"
FKBPL,"Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Malignant neoplasm of lung, Malignant neoplasm of breast, Carcinoma of lung, Primary malignant neoplasm of lung, Breast Carcinoma, Breast Cancer"
FOS,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Tumor Angiogenesis, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Leukemia, Cervix carcinoma, Liver neoplasms, leukemia, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Malignant neoplasm of lung, Fibroid Tumor, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Endometrial Neoplasms, Stomach Carcinoma, Colon Carcinoma, Fibrosarcoma, Malignant neoplasm of stomach, Osteosarcoma of bone, Stomach Neoplasms, melanoma, Breast Carcinoma, Osteosarcoma, Thyroid carcinoma, Tumor Promotion, Acute lymphocytic leukemia, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, Myeloid Leukemia, Prostatic Neoplasms, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Carcinoma of bladder, Experimental Organism Basal Cell Carcinoma, Tumor Immunity, Malignant Head and Neck Neoplasm, Endometrial Carcinoma, Adenocarcinoma of lung (disorder), Classical Hodgkin's Lymphoma, Colorectal Carcinoma, Metastatic melanoma, Sarcoma, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Squamous cell carcinoma of the head and neck, Primary malignant neoplasm, Malignant Neoplasms, Malignant neoplasm of thyroid, Precancerous Conditions, Thyroid Neoplasm, Papillary thyroid carcinoma, Clear Cell Sarcoma of Soft Tissue, Childhood Osteosarcoma, Giant Cell Tumors, Malignant neoplasm of skin, Childhood Leukemia, Adenocarcinoma of colon, Tumor Necrosis Factor Receptor 1-Associated Periodic Syndrome, Carcinoid Tumor, Malignant neoplasm of tongue, Breast Cancer, Lung Cancer"
FOXJ1,"Ovarian Carcinoma, Malignant neoplasm of ovary, Neoplasm Metastasis, Mammary Neoplasms, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Stomach Carcinoma, Malignant neoplasm of stomach, Breast Carcinoma, Secondary malignant neoplasm of lymph node"
FSCN2,melanoma
GPM6B,Lymphoid leukemia
HAP1,"Malignant neoplasm of lung, Carcinoma of lung, Primary malignant neoplasm of lung, Prostate carcinoma, Malignant neoplasm of prostate"
HLA-L,"Carcinoma of lung, Lung Cancer"
HS3ST3B1,"Leukemia, Pancreatic carcinoma, Malignant neoplasm of pancreas"
HSPA1A,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Neoplasm Metastasis, leukemia, Malignant neoplasm of lung, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Carcinoma of lung, Stomach Carcinoma, Colon Carcinoma, Fibrosarcoma, Malignant neoplasm of stomach, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Small cell carcinoma of lung, Prostate carcinoma, Malignant tumor of colon, Prostatic Neoplasms, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Carcinoma of bladder, Tumor Immunity, Renal Cell Carcinoma, Carcinoma, Colorectal Carcinoma, Colorectal Cancer, Urothelial Carcinoma, Primary malignant neoplasm, Carcinoma breast stage IV, Malignant Neoplasms, Childhood Acute Lymphoblastic Leukemia, Ki-1+ Anaplastic Large Cell Lymphoma"
HSPA1B,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, Malignant neoplasm of ovary, Neoplasm Metastasis, Mammary Neoplasms, Malignant neoplasm of lung, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Nasopharyngeal carcinoma, Carcinoma of lung, Stomach Carcinoma, Colon Carcinoma, Fibrosarcoma, Malignant neoplasm of stomach, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Small cell carcinoma of lung, Prostate carcinoma, Malignant tumor of colon, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Carcinoma of bladder, Tumor Immunity, Renal Cell Carcinoma, Carcinoma, Colorectal Carcinoma, Colorectal Cancer, Urothelial Carcinoma, Primary malignant neoplasm, Malignant Neoplasms, Childhood Acute Lymphoblastic Leukemia, Ki-1+ Anaplastic Large Cell Lymphoma, Breast Cancer"
HSPA6,"Prostate carcinoma, Malignant neoplasm of prostate"
HSPH1,"Lymphoma, Mammary Neoplasms, Pancreatic carcinoma, Malignant neoplasm of pancreas, Tumor Progression, Malignant neoplasm of breast, Liver carcinoma, Stomach Carcinoma, B-Cell Lymphomas, Malignant neoplasm of stomach, melanoma, Breast Carcinoma, Colorectal Neoplasms, Adenocarcinoma, Renal Cell Carcinoma, Colorectal Carcinoma, Colorectal Cancer"
ICAM1,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Malignant tumor of cervix, Neoplasm Metastasis, Leukemia, Cervix carcinoma, Kaposi Sarcoma, Liver neoplasms, Mammary Neoplasms, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Brain Neoplasms, Malignant neoplasm of lung, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Carcinoma of lung, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Malignant neoplasm of stomach, Osteosarcoma of bone, Lip and Oral Cavity Carcinoma, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Secondary malignant neoplasm of bone, Thyroid carcinoma, Small cell carcinoma of lung, Acute Promyelocytic Leukemia, Acute lymphocytic leukemia, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Myeloid Leukemia, Prostatic Neoplasms, Squamous cell carcinoma, Malignant neoplasm of prostate, Pancreatic Neoplasm, Mouth Neoplasms, precancerous lesions, Experimental Organism Basal Cell Carcinoma, Tumor Immunity, Hematologic Neoplasms, Malignant neoplasm of liver, Renal Cell Carcinoma, Solid Neoplasm, Adenocarcinoma of lung (disorder), Classical Hodgkin's Lymphoma, Colorectal Carcinoma, Metastatic melanoma, Esophageal Neoplasms, Chondrosarcoma, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Secondary malignant neoplasm of lung, Malignant neoplasm of thyroid, Secondary malignant neoplasm of liver, Adenocarcinoma Of Esophagus, Papillary thyroid carcinoma, Renal carcinoma, Malignant neoplasm of esophagus, Childhood Acute Lymphoblastic Leukemia, Liver and Intrahepatic Biliary Tract Carcinoma, Ki-1+ Anaplastic Large Cell Lymphoma, Follicular thyroid carcinoma, Uveal melanoma, Ovarian adenocarcinoma, Marginal Zone B-Cell Lymphoma, Esophageal carcinoma, Malignant neoplasm of skin, Burkitt Lymphoma, Mucosa-Associated Lymphoid Tissue Lymphoma, Eosinophilic leukemia, Malignant neoplasm of kidney, Childhood Burkitt Lymphoma, Cutaneous Melanoma, Neoplasm, Primary Effusion Lymphoma, Nasopharyngeal carcinoma ORPHA:150, T-cell large granular lymphocyte leukemia ORPHA:86872"
ID1,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Malignant tumor of cervix, Neoplasm Metastasis, Cervix carcinoma, Kaposi Sarcoma, Liver neoplasms, Mammary Neoplasms, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Carcinoma of lung, Stomach Carcinoma, Malignant neoplasm of stomach, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Thyroid carcinoma, Acute Promyelocytic Leukemia, Colorectal Neoplasms, Prostate carcinoma, Adenocarcinoma, ovarian neoplasm, Prostatic Neoplasms, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Pancreatic Neoplasm, Carcinoma of bladder, Malignant neoplasm of liver, Adenocarcinoma of lung (disorder), Colorectal Carcinoma, Uterine Cervical Neoplasm, Esophageal Neoplasms, Neoplasms, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Secondary malignant neoplasm of lung, Primary malignant neoplasm, Carcinoma breast stage IV, Malignant Neoplasms, Malignant neoplasm of thyroid, Thyroid Neoplasm, Papillary thyroid carcinoma, Liver and Intrahepatic Biliary Tract Carcinoma, Benign Neoplasm, Ductal Carcinoma, Malignant Neoplasm"
IL1A,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Leukemia, Cervix carcinoma, Kaposi Sarcoma, Liver neoplasms, Mammary Neoplasms, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Adult T-Cell Lymphoma/Leukemia, Diffuse Large B-Cell Lymphoma, Malignant neoplasm of lung, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Nasopharyngeal carcinoma, Endometrial Neoplasms, Malignant neoplasm of vulva, Carcinoma of lung, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Fibrosarcoma, Malignant neoplasm of stomach, Osteosarcoma of bone, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Thyroid carcinoma, Acute lymphocytic leukemia, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Pancreatic Neoplasm, precancerous lesions, Carcinoma of bladder, Malignant neoplasm of liver, CARCINOMA OF VULVA, Renal Cell Carcinoma, Solid Neoplasm, Endometrial Carcinoma, Adenocarcinoma of lung (disorder), Colorectal Carcinoma, Pancreatic Ductal Adenocarcinoma, Metastatic melanoma, Myeloid Leukemia, Chondrosarcoma, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Skin Neoplasms, Squamous cell carcinoma of the head and neck, Secondary malignant neoplasm of lung, Precursor Cell Lymphoblastic Leukemia Lymphoma, gastric cancer, Papillary thyroid carcinoma, Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma, Hairy Cell Leukemia, Follicular thyroid carcinoma, Uveal melanoma, Ovarian adenocarcinoma, Malignant neoplasm of skin, T-Cell Lymphoma, Precursor T-Cell Lymphoblastic Leukemia-Lymphoma, Oropharyngeal Carcinoma, Lymphomatoid Papulosis, Neoplasms, Skin Cancer, Adenocarcinoma of ovary ORPHA:213504"
IL1B,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Tumor Angiogenesis, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Mammary Neoplasms, Leukemia, Cervix carcinoma, Kaposi Sarcoma, Liver neoplasms, leukemia, Pancreatic carcinoma, Adenocarcinoma of pancreas, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Diffuse Large B-Cell Lymphoma, Brain Neoplasms, Malignant neoplasm of lung, Fibroid Tumor, Chronic Lymphocytic Leukemia, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Colonic Neoplasms, Nasopharyngeal carcinoma, Endometrial Neoplasms, Malignant neoplasm of vulva, Carcinoma of lung, Stomach Carcinoma, B-Cell Lymphomas, Colon Carcinoma, Fibrosarcoma, Malignant neoplasm of stomach, Osteosarcoma of bone, Lip and Oral Cavity Carcinoma, Stomach Neoplasms, melanoma, Primary malignant neoplasm of lung, Breast Carcinoma, Osteosarcoma, Thyroid carcinoma, M5b Acute differentiated monocytic leukemia, Tumor Promotion, Acute Promyelocytic Leukemia, Acute lymphocytic leukemia, Colorectal Neoplasms, Acute monocytic leukemia, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, ovarian neoplasm, Myeloid Leukemia, Malignant neoplasm of endometrium, Uterine Corpus Cancer, Squamous cell carcinoma, Malignant neoplasm of prostate, Malignant neoplasm of urinary bladder, Pancreatic Neoplasm, Mouth Neoplasms, precancerous lesions, Carcinoma of bladder, Hematologic Neoplasms, Carcinoma, CARCINOMA OF VULVA, Renal Cell Carcinoma, Solid Neoplasm, Endometrial Carcinoma, Adenocarcinoma of lung (disorder), Colorectal Carcinoma, Uterine Cervical Neoplasm, Metastatic melanoma, Esophageal Neoplasms, Neoplasms, Chondrosarcoma, Precursor B-cell lymphoblastic leukemia, Secondary malignant neoplasm of lymph node, Colorectal Cancer, Skin Neoplasms, Secondary malignant neoplasm of lung, Monocytic leukemia, Precursor Cell Lymphoblastic Leukemia Lymphoma, Malignant Neoplasms, Carcinoma of larynx, Precancerous Conditions, Malignant neoplasm of larynx, Neoplasm Invasiveness, gastric cancer, Thyroid Neoplasm, Chronic Lymphocytic Leukemia/Small Lymphocytic Lymphoma, Malignant neoplasm of esophagus, Hairy Cell Leukemia, GASTRIC CANCER, Follicular thyroid carcinoma, Hereditary Diffuse Gastric Cancer, Uveal melanoma, Benign Neoplasm, Ovarian adenocarcinoma, Juvenile Myelomonocytic Leukemia, Squamous cell carcinoma of esophagus, Melanoma, Esophageal carcinoma, Recurrent tumor, Ewings sarcoma-primitive neuroectodermal tumor (PNET), Childhood Osteosarcoma, Lymphoid leukemia, gallbladder neoplasm, Conventional (Clear Cell) Renal Cell Carcinoma, T-Cell Lymphoma, Acral pseudolymphomatous angiokeratoma of children (APACHE), Superficial spreading malignant melanoma of skin, Triple Negative Breast Neoplasms, Lymphomatoid Papulosis, Cholangiocarcinoma, Gastric Adenocarcinoma, Primary Effusion Lymphoma, Thyroid Carcinoma, Breast Cancer, Lung Cancer, Gastric Cancer, Malignant Neoplasm, Nasopharyngeal carcinoma ORPHA:150"
IL23A,"Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Malignant tumor of cervix, Neoplasm Metastasis, Cervix carcinoma, Pancreatic carcinoma, Malignant neoplasm of mouth, Adult T-Cell Lymphoma/Leukemia, Diffuse Large B-Cell Lymphoma, Leukemia, Tumor Progression, Liver carcinoma, Stomach Carcinoma, Colon Carcinoma, Malignant neoplasm of stomach, Lip and Oral Cavity Carcinoma, melanoma, Thyroid carcinoma, Tumor Promotion, Acute Promyelocytic Leukemia, Malignant tumor of colon, Carcinoma of bladder, Experimental Organism Basal Cell Carcinoma, Hematologic Neoplasms, Colorectal Carcinoma, Lymphoma, Precursor B-cell lymphoblastic leukemia, Sarcoma, Colorectal Cancer, Secondary malignant neoplasm of lung, Malignant neoplasm of thyroid, Promyelocytic leukemia, Acute leukemia, Squamous cell carcinoma of mouth"
INHBC,"Non-Small Cell Lung Carcinoma, Metastatic malignant neoplasm to brain"
IRF1,"Lymphoma, Non-Small Cell Lung Carcinoma, Ovarian Carcinoma, cervical cancer, Malignant neoplasm of ovary, Malignant tumor of cervix, Lung Neoplasms, Neoplasm Metastasis, Leukemia, Cervix carcinoma, Kaposi Sarcoma, Liver neoplasms, Mammary Neoplasms, leukemia, Pancreatic carcinoma, Epithelial ovarian cancer, Malignant neoplasm of pancreas, Diffuse Large B-Cell Lymphoma, Malignant neoplasm of lung, Tumor Progression, Malignant neoplasm of breast, Bladder Neoplasm, Liver carcinoma, Stomach Carcinoma, Colon Carcinoma, Malignant neoplasm of stomach, Stomach Neoplasms, melanoma, Breast Carcinoma, Acute Promyelocytic Leukemia, Acute lymphocytic leukemia, Prostate carcinoma, Adenocarcinoma, Malignant tumor of colon, Myeloid Leukemia, Malignant neoplasm of prostate, Hematopoietic Neoplasms, Malignant neoplasm of liver, Renal Cell Carcinoma, Solid Neoplasm, Acute myelomonocytic leukemia, Colorectal Carcinoma, Colorectal Cancer, Skin Neoplasms, Invasive carcinoma of breast, Adenocarcinoma Of Esophagus, Renal carcinoma, GASTRIC CANCER, Liver and Intrahepatic Biliary Tract Carcinoma, Hereditary Diffuse Gastric Cancer, Juvenile Myelomonocytic Leukemia, Acute leukemia, Invasive Ductal Breast Carcinoma, Malignant neoplasm of gastrointestinal tract, Gastric Adenocarcinoma, Lung Cancer, Gastric Cancer, Nasopharyngeal carcinoma ORPHA:150, T-cell large granular lymphocyte leukemia ORPHA:86872, MALT lymphoma ORPHA:52417"
L3MBTL1,"Leukemia, leukemia, Brain Neoplasms, Malignant neoplasm of breast, Breast Carcinoma, Myeloid Leukemia, Hematologic Neoplasms, Hematopoietic Neoplasms"
