"","Caco-2 cells of no treatment group-1","Caco-2 cells of no treatment group-2","Caco-2 cells of no treatment group-3","Caco-2 cells of B. subtilis CW14 treatment group-1","Caco-2 cells of B. subtilis CW14 treatment group-2","Caco-2 cells of B. subtilis CW14 treatment group-3"
"728066",281,259,304,175,285,215
"105373711",0,0,0,0,0,1
"9595",12,11,10,10,4,17
"105373712",3,0,5,2,1,2
"130399",118,92,80,134,107,105
"105373713",1,2,1,1,2,1
"90",116,137,168,113,112,153
"105373714",0,0,0,0,0,0
"151531",0,0,1,1,0,1
"554201",1,0,0,0,0,0
"130940",8,15,24,11,18,7
"8502",1438,1374,1790,1185,1235,1698
"105373715",6,1,4,3,2,6
"107985780",77,100,107,78,130,205
"100129029",68,69,61,65,63,76
"92196",0,1,2,4,1,0
"85461",704,588,649,723,821,1049
"102465535",0,1,0,0,0,1
"105373716",36,58,62,63,66,140
"151525",360,312,358,298,313,423
"29994",933,822,1035,773,844,969
"643072",74,67,72,33,46,70
"64844",1796,1527,1930,1654,1880,1971
"100526664",794,599,734,792,633,1060
"9936",244,177,247,216,198,267
"4065",1404,1087,1197,1300,1113,1622
"22925",256,141,153,214,230,228
"105373717",0,0,0,1,1,3
"3694",370,253,274,379,302,326
"100505984",9,6,5,8,3,2
"5937",1700,1724,2059,1292,1434,1596
"100616364",3,4,5,1,6,5
"105373718",0,0,0,0,0,0
"105373719",0,3,0,1,0,0
"10010",1717,1197,1512,1066,841,1115
"101929512",8,16,9,15,17,17
"100996579",44,32,54,48,37,43
"10213",1890,1583,1808,1413,1319,1548
"10716",0,0,1,0,0,0
"105373720",0,1,0,0,0,1
"285116",137,125,166,134,142,228
"57282",1,2,6,0,6,3
"105373722",0,0,0,0,0,0
"1803",8619,6931,7699,7419,6820,6257
"100131604",21,28,26,44,18,32
"101929532",0,0,0,1,3,2
"2641",2,0,0,0,0,0
"2191",0,1,4,0,2,0
"105373724",2,0,0,0,6,0
"64135",147,161,176,165,129,271
"25801",994,829,914,740,828,950
"90134",1,2,0,2,0,2
"101929570",0,0,0,0,0,0
"105373727",0,0,0,0,0,0
"107985829",1,0,1,3,0,0
"105373728",0,0,0,0,0,0
"55137",1,2,0,2,4,2
"107985957",0,1,2,3,9,0
"2888",311,332,323,292,373,387
"22837",718,713,1088,651,623,1052
"100337591",15,2,4,4,9,1
"101929633",8,1,3,13,1,8
"151258",30,23,32,11,12,44
"6328",1,0,8,3,12,5
"6326",0,1,0,0,0,2
"80034",52,33,23,42,31,56
"2591",4093,2998,3002,3245,3415,3235
"105373730",0,3,5,0,4,1
"100506124",2,9,10,17,2,19
"79809",477,387,437,456,496,596
"100506134",2,2,1,2,5,0
"102724058",2,0,0,4,0,1
"6323",3,6,9,12,16,2
"101929680",0,2,1,3,5,4
"6335",3,20,31,14,19,10
"6332",3,5,7,7,5,3
"107985958",0,0,0,0,0,0
"129446",1,0,0,0,2,0
"100874011",0,0,0,0,0,0
"8708",0,2,0,1,2,0
"105616981",0,0,0,0,0,1
"27347",749,600,574,553,644,620
"107985959",1,1,6,0,0,0
"105373733",1,1,2,2,3,0
"105373734",0,0,0,3,0,1
"102724081",8,8,4,7,11,7
"253782",1345,1019,1240,1346,1171,1643
"100616356",1,0,0,0,0,0
"100861402",727,584,687,651,576,728
"115677",1376,1031,1385,918,992,1221
"57405",454,329,384,352,306,375
"57818",0,1,0,0,0,1
"8647",3,6,3,7,1,4
"10170",94,38,58,88,26,32
"4036",611,791,1141,640,560,1343
"129880",47,31,55,56,56,54
"10324",9,10,9,4,7,6
"79675",573,534,492,541,603,627
"9360",6532,5204,6194,4732,5652,4845
"129881",27,18,18,15,20,19
"493911",59,49,51,46,67,67
"100526832",354,264,260,339,337,355
"151230",338,256,244,330,321,337
"6741",5379,4792,5435,3815,3863,4480
"29081",1389,1098,1204,1055,1034,1122
"109617017",0,4,3,0,1,0
"130507",655,613,718,636,526,875
"140469",4,11,8,4,10,6
"105373735",0,4,0,0,0,0
"101929753",0,0,0,1,0,0
"100130256",4,1,5,1,1,4
"101926913",24,13,16,15,21,12
"440925",22,17,20,25,18,21
"389058",438,583,673,272,248,418
"285141",152,173,172,122,148,165
"2571",193,153,208,197,233,238
"26003",2741,2524,3204,2284,2671,2718
"9874",1429,1368,1494,1096,1278,1552
"107983995",1,4,3,3,3,0
"105373737",3,0,4,2,3,3
"79828",311,304,371,270,250,367
"80067",342,333,343,293,289,378
"79901",687,455,656,594,584,730
"1781",3168,2393,3042,2207,2395,2448
"8604",106,64,122,105,89,106
"105373739",0,0,0,0,0,1
"105373740",0,0,0,1,1,0
"8520",1868,1345,1521,1141,882,1155
"254042",131,138,105,117,97,159
"1745",14,14,19,22,27,30
"1746",54,47,50,28,13,27
"104326193",0,0,0,0,2,0
"105373741",0,3,2,3,3,0
"107985960",3,3,3,1,2,0
"105376738",2,0,0,0,0,0
"105373742",0,2,3,0,1,3
"3655",3978,2839,3862,2770,2949,3699
"101929947",13,8,6,2,9,9
"5163",2185,1670,1712,1902,2267,2358
"91149",0,0,0,0,0,0
"11069",5,2,6,6,6,9
"51776",1075,926,1139,934,909,1205
"339751",71,83,98,86,125,107
"105373743",0,0,0,0,0,0
"83879",576,580,596,501,442,595
"105373744",0,0,0,0,1,0
"107985961",14,10,10,7,8,16
"105373745",0,1,1,0,0,0
"6670",3175,2484,2948,2506,2705,3098
"100128905",8,7,3,9,4,28
"105373746",0,0,2,1,1,2
"29789",4709,4127,4518,3886,4143,4589
"285084",7,13,7,4,7,9
"102724194",32,16,27,24,10,24
"100131390",64,96,96,31,77,72
"9541",3091,2382,2730,2133,2935,2253
"79634",616,479,493,546,483,578
"151556",93,89,87,84,114,115
"105373748",24,18,15,10,21,31
"7456",440,398,344,408,374,352
"440926",4077,3418,3544,2908,3324,3062
"1134",17,9,15,11,13,15
"105373750",10,5,12,5,9,20
"1123",4,8,8,7,4,8
"1386",959,825,878,829,914,922
"100126350",0,1,0,1,0,0
"518",4683,4297,4535,3991,3280,4205
"105373752",0,0,0,0,0,0
"107985962",38,37,42,50,75,78
"80856",1071,900,1009,965,1201,1240
"107985830",0,0,0,0,0,0
"344191",0,0,0,0,0,0
"3239",0,0,0,0,0,0
"3238",0,0,0,0,0,0
"107985805",0,2,0,0,0,0
"3237",0,0,0,0,0,0
"3236",0,0,5,0,3,0
"3235",0,1,1,1,2,1
"100129455",0,0,1,0,0,0
"3234",2,5,6,5,0,2
"100506783",2,2,5,2,0,0
"401021",2,2,4,2,2,0
"406903",0,0,0,0,0,0
"3233",1,2,4,1,1,2
"3232",0,0,1,0,1,0
"401022",6,6,3,2,8,5
"102800310",1,2,1,0,0,1
"3231",0,3,2,6,2,1
"102465802",0,0,0,0,0,0
"10651",680,615,670,611,632,616
"100302142",0,0,0,0,0,0
"105373754",0,0,0,0,0,0
"375295",0,0,0,0,0,0
"102724224",1,0,0,0,0,1
"105369143",0,0,0,0,0,0
"101929963",1,2,0,0,0,2
"105373757",0,0,0,0,0,0
"107985966",0,0,0,0,0,0
"105373756",0,0,0,0,0,0
"107985965",0,0,0,1,0,0
"105373760",1,5,1,0,2,0
"105373759",11,18,25,11,9,16
"220988",9025,8474,9361,7320,8357,9846
"100616394",201,189,219,187,171,221
"4780",6337,4423,5713,4633,3675,5502
"100422824",0,1,5,0,3,0
"100130691",69,73,40,60,93,105
"102465255",0,3,1,0,0,0
"8540",2906,2228,2528,2265,2267,2572
"105373762",2,5,3,8,6,8
"150737",36,23,28,36,29,35
"92104",46,48,42,60,37,64
"50940",14,6,19,13,16,12
"105373764",1,0,2,1,0,1
"129831",163,130,151,132,114,151
"114880",75,66,75,47,37,91
"101927027",67,48,51,30,33,35
"8575",1000,964,1124,816,824,891
"494513",23,42,33,43,34,47
"51661",35,27,30,23,17,22
"65977",415,343,360,296,281,318
"100506866",33,24,36,41,50,55
"7273",304,288,383,350,269,466
"101927055",2,0,1,2,0,0
"285025",96,95,152,71,81,141
"105373766",0,3,2,0,2,3
"91404",989,823,988,763,777,852
"151126",3,1,2,3,6,5
"101927073",2,1,1,0,1,1
"107985967",0,0,5,2,0,0
"100302172",0,0,0,0,0,0
"57703",1408,1100,1323,985,1158,1108
"105373767",0,0,0,0,0,0
"105373768",0,0,0,0,0,0
"105373769",0,0,2,0,0,0
"105373770",0,0,0,0,0,0
"101669767",0,1,2,0,4,1
"105373771",0,0,0,0,0,0
"105373772",0,0,0,0,0,1
"10477",285,316,341,207,278,299
"107985831",0,0,0,0,0,0
"101927156",0,0,4,0,4,1
"100616213",0,0,0,0,0,0
"3676",3,2,2,3,2,0
"375298",4,0,3,3,0,0
"4760",0,2,5,0,8,1
"6744",3861,3125,3689,3350,3385,4091
"151242",32,29,23,19,14,34
"102724288",2,0,1,0,0,0
"5136",0,8,3,0,3,0
"101929976",0,0,4,2,0,0
"54431",1059,979,1170,943,782,1145
"2487",6,8,16,13,12,2
"10787",4466,3888,4565,4078,4259,5068
"142679",76,69,54,80,71,84
"129401",487,332,438,378,329,378
"105373774",30,35,20,14,48,37
"105373775",0,0,1,0,0,0
"105373777",0,0,0,0,0,0
"102724340",0,0,0,0,0,0
"105373776",0,0,0,0,0,0
"100616305",0,0,0,0,0,0
"107985968",0,0,0,0,0,0
"105373779",0,0,0,0,0,0
"105373780",0,0,0,0,0,0
"91752",0,0,2,0,0,1
"105373782",0,0,0,0,0,0
"105373781",0,0,0,0,0,0
"107985832",0,0,0,0,0,0
"101927196",0,0,1,2,0,1
"107985782",0,0,2,0,1,1
"401024",4,12,15,6,11,24
"107985781",4,8,5,1,7,12
"107985783",24,39,25,26,41,35
"101927217",42,33,34,48,43,25
"105373785",74,71,93,61,95,79
"55854",4125,3462,4243,3059,3221,3332
"107985784",0,1,4,0,2,4
"3685",2297,1778,1996,2419,2323,2972
"165215",358,372,423,361,337,513
"151112",0,0,0,0,0,0
"105373786",2,9,10,9,9,6
"10203",2,0,2,2,3,0
"7035",2483,1632,1977,1731,1355,1621
"105373788",0,0,0,0,0,0
"104355152",7,2,3,4,7,5
"51454",280,299,564,311,207,311
"693146",3,0,7,5,5,11
"105373790",0,0,0,0,2,0
"116093",0,0,0,0,0,0
"105373791",1,0,0,0,0,0
"1281",15,35,37,14,16,43
"100302219",0,0,0,0,0,0
"100616324",0,0,0,0,0,0
"100500837",0,2,0,0,0,1
"1290",2506,2091,2436,2522,2103,2889
"100422908",0,0,0,0,0,0
"101927252",8,1,1,4,3,10
"84128",1434,1184,1338,1194,1296,1404
"30061",3480,2760,3116,2798,2804,2500
"54529",644,620,724,496,457,563
"110599588",109,79,102,92,83,103
"105373793",2,6,7,6,3,10
"150709",92,95,85,87,73,98
"64172",103,89,77,102,89,109
"101409258",1,2,6,4,1,5
"94101",730,637,762,595,698,585
"5378",544,429,348,420,320,376
"105373796",24,16,8,20,18,16
"84281",133,141,135,152,132,169
"105373795",0,0,0,0,0,0
"2660",2,0,3,2,3,1
"105373794",13,1,0,2,1,2
"26275",620,539,593,576,435,658
"3628",801,577,871,454,559,688
"54842",367,310,383,302,308,410
"105373802",8,10,15,13,1,13
"100131211",260,210,260,250,211,319
"105376748",16,24,27,20,24,33
"4664",1739,1299,1623,2123,1847,2612
"2744",5194,4334,5122,4433,5030,5546
"6772",1399,1475,1831,1340,1181,1830
"105373805",14,7,11,7,11,1
"107985785",3,3,0,1,1,2
"6775",40,31,34,29,31,16
"105373804",0,0,0,0,0,0
"4430",2484,2122,2924,2039,2018,2653
"107985833",1,1,8,1,1,2
"64859",813,683,947,726,692,977
"105747689",83,79,76,113,139,174
"105373811",0,0,0,0,0,0
"105373812",0,0,0,0,0,0
"729254",0,0,0,0,0,0
"8436",0,1,2,0,1,5
"23671",4,3,3,0,4,4
"105373813",1,2,4,0,3,0
"101927366",0,2,1,0,0,1
"105376754",0,1,0,0,4,1
"112268441",0,0,0,0,0,0
"64002",0,0,1,0,0,0
"107985969",0,0,0,0,0,0
"105373815",0,0,0,0,2,0
"101927406",0,0,0,0,0,0
"105373816",0,0,0,0,0,0
"105376755",0,0,0,0,0,0
"101927431",2,0,0,0,0,0
"105373817",0,0,0,0,0,0
"105373818",0,0,0,1,0,1
"57181",928,739,672,799,867,935
"56171",29,26,26,24,29,13
"107985972",1,0,0,0,0,0
"105373819",0,0,0,0,0,0
"9262",1718,1466,1628,1101,1203,1385
"101927454",19,10,23,13,13,15
"57520",9,2,10,14,7,12
"101927482",275,254,313,171,82,193
"105373822",0,1,1,0,0,0
"105373821",0,2,1,0,0,0
"105373823",0,0,0,0,0,0
"284992",236,198,192,201,159,210
"100130452",1,1,1,0,2,1
"9330",1348,1085,1280,1087,1151,1202
"401027",0,2,3,4,0,4
"80055",287,230,216,264,292,402
"91526",4,3,9,1,7,0
"101927596",0,1,0,0,2,0
"105373826",0,1,0,2,1,1
"101927547",0,0,1,0,0,1
"105373824",1,1,0,5,0,1
"23451",10368,9123,9780,9481,9803,10241
"80219",2034,1489,1748,1315,1527,1468
"3329",33172,28876,32147,24147,21166,27300
"106635540",2630,2497,2833,1923,1919,2002
"100529241",2331,1893,2147,1661,1367,1657
"3336",2894,2428,2756,1958,1574,1821
"25843",624,514,563,436,427,481
"130132",28,32,21,9,20,13
"92935",60,65,73,65,59,126
"66037",0,0,2,0,1,1
"105373828",0,0,4,3,0,0
"5334",9,4,5,2,6,3
"101927619",1,0,1,0,0,0
"105373831",0,0,0,0,0,0
"105373830",0,0,0,0,0,0
"23314",99,72,55,71,82,99
"150538",0,1,0,0,1,0
"101927641",0,0,0,0,0,0
"348751",47,31,40,28,40,29
"101927687",2,3,7,7,6,8
"205327",812,772,801,665,885,755
"129450",457,448,494,428,449,572
"79568",441,456,430,387,387,425
"105373833",2,0,0,0,0,0
"26010",4049,3937,4702,3376,3382,4133
"107985786",4,6,7,13,9,21
"101927741",1071,1112,1262,1176,1233,1563
"130535",225,208,221,168,232,251
"151246",1279,958,955,887,1044,1156
"316",111,91,73,69,63,83
"107161151",23,12,13,15,15,23
"100507140",9,5,4,7,15,7
"101927795",127,99,120,124,107,132
"9689",9013,7039,8074,6206,6661,6686
"1195",8012,5893,6544,5100,4639,4589
"53938",383,321,319,262,288,294
"60491",387,411,431,303,392,414
"4999",772,629,708,651,755,882
"105373835",27,31,33,39,44,50
"285172",540,474,674,584,893,753
"4709",875,668,715,637,597,591
"105373836",14,16,29,64,34,116
"8837",2501,2482,2899,3526,2788,5093
"65072",103,117,162,156,166,247
"843",265,257,324,367,354,619
"841",613,483,506,498,464,630
"130540",0,5,1,6,3,5
"66008",518,439,515,483,411,497
"55437",609,519,596,503,488,666
"151254",2,3,8,5,2,2
"65062",306,260,309,242,226,254
"58538",0,5,4,4,4,8
"57679",866,821,976,811,939,1019
"65061",3,3,1,2,2,0
"8324",1034,923,1041,761,747,1003
"100652824",0,8,2,7,8,10
"729224",1,1,3,4,4,1
"7341",2451,2323,2601,1999,2076,2165
"51602",4227,3729,4617,3080,3564,3483
"692110",4,7,11,2,7,3
"109616995",4,9,4,5,8,13
"100113392",5,1,4,3,4,2
"692058",8,13,12,8,19,15
"107985976",0,0,0,1,4,0
"659",601,487,587,562,535,753
"150864",573,432,460,386,465,522
"130026",46,54,66,41,44,70
"55759",1152,863,946,834,668,898
"79800",91,67,68,93,72,129
"65065",2191,1977,2094,1760,2125,2318
"57404",672,558,697,420,430,511
"10152",1608,1569,1765,1482,1696,2208
"65059",816,742,877,725,724,963
"940",2,3,2,4,4,4
"1493",0,0,0,0,0,0
"101927840",0,0,0,1,0,3
"29851",0,0,0,0,0,0
"105373845",2,3,2,0,0,2
"117583",273,229,299,238,241,388
"8828",126,135,183,107,106,129
"105373847",0,0,0,1,4,1
"54891",1091,972,1080,964,1325,1183
"105373848",0,1,0,1,7,0
"4719",2976,2392,2695,2337,2002,2759
"100329109",48,33,43,42,17,43
"1933",32896,26023,27545,24082,22134,21247
"26798",52,79,44,25,31,28
"619569",56,55,58,28,27,16
"2825",0,5,4,0,2,2
"101669764",3,1,5,1,8,2
"57683",189,206,216,253,330,383
"8745",140,238,292,142,123,244
"200726",0,0,0,0,0,0
"391475",1,1,0,0,1,1
"130752",5,11,9,6,7,6
"22868",951,801,803,765,718,806
"100423002",0,0,0,0,0,0
"100422993",0,0,0,0,0,0
"130749",75,60,76,56,72,87
"8609",451,325,356,361,374,483
"100423036",0,0,0,0,0,0
"102465835",4,5,3,0,2,4
"101927865",28,18,6,18,21,17
"105373853",3,8,3,10,4,5
"105373852",0,0,0,0,0,0
"100302130",0,0,0,0,0,0
"105373851",0,0,0,0,0,1
"1385",914,665,837,815,791,903
"151194",455,345,428,366,462,445
"102724714",1,0,5,0,0,0
"151195",943,817,1184,782,805,1029
"7855",2259,2044,2742,2093,2295,3103
"100616361",10,14,19,15,13,17
"389072",268,309,309,252,308,415
"105373854",0,0,0,0,0,2
"100507443",0,1,0,0,0,0
"1421",0,0,2,0,0,2
"1420",2,4,3,5,1,5
"1419",1,0,0,0,0,2
"1418",0,0,2,0,0,1
"389073",0,0,0,0,0,0
"3417",6932,5309,5940,5543,3921,6184
"100507475",12,14,18,25,12,23
"200576",612,676,712,702,901,1116
"5746",1,4,12,0,0,4
"105373855",0,1,0,0,1,0
"101927960",0,0,1,0,2,3
"105373857",2,0,0,2,0,0
"105373856",1,0,2,1,0,1
"4133",0,1,0,1,4,0
"285175",1,4,10,3,6,7
"6120",970,776,847,771,716,955
"151050",266,185,237,180,269,324
"101928020",12,8,14,5,2,4
"112268429",0,4,0,0,0,0
"107985977",2,0,4,0,4,2
"33",0,1,1,1,0,0
"4632",0,0,0,0,0,0
"102724820",0,0,0,0,1,1
"10314",755,648,603,741,650,734
"1373",93,64,83,74,72,107
"29034",0,0,0,0,0,0
"107985978",0,0,0,0,0,0
"2066",2,0,8,7,14,3
"100313771",0,0,0,0,0,0
"107985979",2,0,0,0,2,0
"102725079",0,0,0,0,0,0
"100616267",0,0,0,0,0,0
"100616472",0,0,0,0,0,0
"102725082",8,3,2,5,6,2
"107985980",0,0,2,1,0,2
"22807",13,40,44,27,26,46
"105373863",0,0,3,0,2,0
"105373864",0,0,0,0,0,0
"107985981",0,0,0,1,3,0
"100130451",0,1,3,0,0,2
"79582",390,372,358,346,331,375
"100616375",0,0,0,0,0,0
"101928084",2,0,0,1,2,1
"402117",1,1,0,0,1,0
"100885780",0,0,0,0,1,1
"580",543,519,516,544,641,706
"101928103",52,31,33,38,28,45
"109617008",0,2,0,0,2,1
"26154",5,9,9,14,18,21
"471",2310,2267,2771,1747,1786,2354
"2335",31471,32164,47347,31761,35247,46128
"112268430",893,886,1232,767,778,1157
"105373868",7,3,9,4,10,4
"102724849",0,0,0,1,0,0
"102724861",6,10,10,7,5,11
"646324",5,9,2,2,7,2
"105373869",5,1,14,1,2,4
"105373870",0,3,0,0,1,2
"55686",271,333,428,372,362,474
"55825",947,728,793,717,612,711
"92691",53,37,47,35,35,64
"7520",7871,6559,7238,6032,5017,6515
"150967",49,79,82,68,87,64
"57574",0,0,1,1,0,0
"107985983",0,0,0,0,1,0
"107985985",0,3,0,2,0,2
"107985984",0,0,0,0,0,0
"50485",467,377,410,375,391,559
"100507554",64,58,64,60,59,52
"6168",30410,27421,28308,23720,26534,20876
"101928156",174,183,167,128,266,124
"101928180",1,6,7,5,6,7
"105373871",2,3,0,3,4,3
"101928232",0,0,2,0,4,0
"3485",2876,2909,2603,2228,2542,2212
"3488",3,2,2,2,8,4
"101928278",1,3,3,4,3,1
"7141",3,8,6,9,5,7
"105373876",3,2,0,0,0,1
"101928327",3,3,6,1,1,2
"105373874",0,0,1,0,0,0
"105373873",1,0,0,0,2,1
"105373872",0,0,0,0,0,0
"105373877",0,0,0,0,5,0
"729582",8,5,3,3,3,7
"7145",1993,1924,2067,2364,3605,2866
"109623482",0,0,0,0,0,0
"102465485",0,0,0,0,1,0
"105373878",4,7,10,4,12,8
"285180",2,5,5,4,3,2
"3580",0,0,0,0,0,0
"3579",0,0,0,2,1,2
"3577",0,0,0,0,0,2
"101928487",61,56,81,89,82,63
"10109",6388,5888,6568,5304,6772,6295
"100189253",4,3,1,0,2,6
"151306",26,17,48,33,41,48
"14",2351,2433,2832,1970,2251,2503
"25953",2206,2143,2341,2163,2634,2265
"64114",7498,6937,8645,7151,8181,8350
"102465256",198,189,228,225,245,286
"105373881",15,25,22,24,22,14
"105373880",9,13,9,6,18,13
"103689911",23,13,22,17,9,8
"102466197",1,1,2,4,1,3
"375307",11,9,4,14,5,8
"101928513",13,6,5,6,2,4
"6556",48,27,29,43,54,40
"58190",1459,1421,1664,1480,1355,1647
"407017",1,0,3,1,3,1
"7429",7571,6792,7413,7092,6365,8611
"57695",794,687,763,739,759,950
"9125",1021,959,1212,1039,1190,1388
"84812",34,36,40,35,42,51
"7701",245,247,279,213,247,347
"617",229,201,270,237,177,231
"64320",182,183,246,173,210,191
"27148",314,343,425,410,370,435
"9654",984,932,976,751,981,1174
"1593",1200,906,984,913,673,891
"107985986",3,1,1,4,1,4
"53632",1,3,6,3,7,10
"103504730",0,0,0,0,1,0
"7475",30,72,144,23,24,88
"80326",37,36,51,59,29,59
"107984111",1,0,0,1,3,3
"105373882",1,3,3,9,2,10
"101928537",1,0,1,3,2,2
"8941",13,6,5,6,1,13
"151300",3,1,1,1,4,2
"54738",0,0,2,0,0,2
"1412",1,0,2,3,1,3
"494324",0,0,0,0,0,0
"100129175",2,4,3,2,1,7
"255101",109,54,113,83,90,140
"107985987",70,65,90,61,47,91
"3549",851,781,919,708,577,840
"100422957",19,8,17,15,5,9
"79840",723,579,739,585,598,642
"151295",266,171,213,240,171,254
"27013",1026,990,1087,801,850,933
"79137",1232,1138,1328,1004,1144,1275
"130617",774,776,950,533,761,600
"10058",1216,1230,1375,1115,1026,1290
"79065",1144,1064,1410,939,1228,1363
"55139",1716,1772,1974,1587,2486,2195
"79411",48,78,63,59,67,64
"8576",444,455,555,479,456,552
"7277",688,679,697,499,549,467
"80086",12,12,15,1,1,5
"3300",821,1026,1322,799,1184,1047
"5798",47,31,36,34,40,29
"406944",1,0,0,0,0,0
"389075",0,0,0,0,0,0
"107985835",0,0,0,2,0,0
"105373883",3,13,11,12,10,9
"23549",1351,1345,1595,1116,1185,1479
"105373884",5,3,5,6,3,7
"1674",29,13,10,24,18,24
"10290",203,205,185,201,214,223
"105373885",0,0,1,0,0,1
"100996693",27,33,38,37,26,23
"29926",977,895,1082,769,933,901
"55515",11,3,8,6,13,22
"79586",3112,2750,2855,2627,2837,2322
"130612",518,560,593,509,546,581
"100423039",0,0,2,2,1,1
"23363",1716,1627,1680,1673,1487,1810
"3623",105,160,104,119,181,114
"114790",633,639,696,548,602,624
"6508",114,140,180,141,147,132
"105373886",0,0,1,1,0,1
"105373887",2,0,0,0,4,0
"105373888",0,0,5,0,0,0
"105373889",0,0,0,0,0,0
"105373890",1,0,0,0,1,2
"100422959",0,0,0,0,0,0
"105373891",0,0,3,1,2,0
"105373893",0,2,1,0,1,1
"105373894",1,0,1,1,0,3
"105373895",0,0,0,0,0,0
"105373896",1,0,1,1,0,0
"107985989",0,0,0,1,6,1
"107985988",0,2,1,2,5,2
"107985990",0,0,0,0,0,0
"2043",28,49,81,33,31,56
"105373897",1,0,0,0,0,0
"105373899",0,0,2,2,0,0
"105373898",0,0,0,0,0,0
"105373900",0,1,0,0,1,6
"5077",0,1,0,0,0,3
"107985991",0,0,0,0,0,0
"151278",0,2,5,1,4,0
"440934",0,0,0,0,0,2
"130367",18,22,18,35,28,47
"10056",1467,1337,1553,1114,1113,1413
"105373902",1,3,0,0,1,1
"116255",11,10,10,10,11,11
"105373903",2,0,4,3,0,7
"2181",9270,7845,8876,8113,8042,9527
"105373904",33,25,27,41,35,36
"23704",8,2,6,4,3,3
"105373905",0,0,2,0,5,0
"105373906",0,0,0,0,0,1
"105373907",0,0,0,0,0,0
"7857",1,2,1,2,4,3
"130340",578,764,1176,660,572,933
"57590",4231,3342,3684,3716,3931,4436
"65080",962,1021,1108,767,1038,1019
"5270",325,228,320,225,203,173
"105373908",0,0,0,0,0,0
"79843",4,0,1,0,4,2
"8452",1375,1315,1541,1141,1262,1322
"105373909",0,0,0,0,0,0
"105373910",0,0,1,0,0,1
"105373911",2,5,2,0,3,1
"55619",3,5,2,15,1,4
"100616207",0,0,0,0,0,0
"57624",3,0,2,3,1,2
"105373914",0,0,0,0,0,0
"107985992",0,0,0,0,0,0
"646736",0,2,0,0,0,1
"105373915",0,0,1,0,0,0
"100847053",0,0,0,0,0,0
"3667",1035,987,1158,879,844,1348
"84236",262,215,255,186,235,241
"1286",11,41,62,45,40,74
"1285",12,13,28,14,21,43
"654841",7,18,18,15,15,11
"56947",1328,1205,1556,1069,1224,1425
"79853",139,90,67,105,64,88
"100847081",3,10,5,4,8,4
"3267",1787,1711,2215,1729,2100,2430
"56918",1,5,3,0,2,2
"729968",0,0,6,0,1,4
"80704",1802,1856,1693,2073,2206,2196
"6364",2258,1300,1164,7115,2424,5258
"164781",9,19,26,16,12,32
"105373918",0,0,0,0,0,0
"80309",0,1,1,1,2,0
"107985993",0,5,0,0,1,0
"101928765",0,1,2,0,1,0
"105373921",0,4,0,0,0,0
"105373920",2,0,0,0,0,0
"105373919",0,0,0,0,0,0
"55022",47,46,76,26,42,70
"92737",1,2,1,1,0,1
"107985994",0,0,0,0,0,0
"105373923",0,0,0,0,0,0
"9320",1947,1847,2190,1803,1887,2408
"130888",87,28,57,63,40,55
"105373924",0,0,0,0,0,0
"107985996",0,0,0,0,0,0
"151473",7,7,21,7,14,27
"107985995",0,0,0,1,0,0
"107985997",0,0,1,0,0,0
"3431",42,45,74,39,47,53
"11262",1,1,1,3,1,1
"93349",15,5,21,13,12,25
"105373925",0,0,0,3,0,1
"6672",398,428,473,347,439,454
"101928816",0,1,1,0,1,2
"112268431",4,1,1,2,2,1
"151475",7,5,17,14,7,20
"51719",1788,1472,1770,1664,1540,1850
"81618",2093,2157,2311,1945,1841,2046
"151484",0,0,0,1,0,2
"9290",0,0,0,1,2,4
"348761",3,8,8,7,2,21
"130560",4,3,6,3,1,4
"257407",793,844,939,840,696,1030
"112268432",382,391,455,345,305,423
"5707",2594,2321,2918,1876,1655,2225
"3357",5,8,6,3,2,12
"80210",124,105,139,95,121,131
"100616317",0,0,0,0,0,0
"93010",367,265,277,264,296,324
"4691",15320,14961,16535,11527,10777,14325
"654321",19,24,21,8,4,9
"6082",15,25,26,11,10,6
"25826",6,5,6,1,2,1
"107985998",1,3,1,2,0,0
"151477",22,21,19,6,13,19
"10316",0,2,1,0,0,0
"105376787",2,0,2,0,1,0
"165100",0,0,0,0,3,1
"105373928",7,5,13,8,11,13
"5757",21301,20294,22305,15202,16860,19072
"100302285",2274,2143,2489,1638,1970,1805
"5147",101,117,101,102,101,116
"64708",265,359,373,312,355,388
"100302126",0,0,0,0,0,0
"4880",15,17,17,6,12,6
"129563",216,221,206,167,139,251
"693147",0,0,0,0,0,0
"250",85,193,213,94,144,138
"347694",0,0,1,0,0,0
"251",91,180,155,111,148,114
"107985999",3,8,13,4,12,4
"248",675,662,807,668,689,622
"9427",10,18,15,26,18,31
"646960",1,2,5,3,0,2
"1144",3,9,2,0,9,6
"1146",19,7,13,15,22,21
"200765",116,141,125,162,154,197
"100847037",2,3,4,3,1,4
"9470",850,764,925,694,716,762
"105373929",0,0,1,0,0,1
"80303",23,28,29,10,10,25
"26058",908,910,1126,677,814,1128
"3769",23,14,14,14,15,12
"389084",39,54,70,39,67,55
"25791",12,10,18,13,10,16
"101928881",1,0,0,2,0,0
"4759",0,0,0,0,0,0
"3635",2,5,4,7,3,2
"55054",698,617,824,501,844,593
"677775",6,4,2,1,0,8
"677772",1,6,11,3,7,7
"6295",1,3,0,1,0,1
"8527",930,1092,1538,860,1142,1372
