"BioGRID Interaction ID","Entrez Gene ID for Interactor A","Entrez Gene ID for Interactor B","BioGRID ID for Interactor A","BioGRID ID for Interactor B","Systematic name for Interactor A","Systematic name for Interactor B","Official symbol for Interactor A","Official symbol for Interactor B","Synonyms/Aliases for Interactor A","Synonyms/Aliases for Interactor B","Experimental System Name","Experimental System Type","First author surname of the publication","Pubmed ID","Organism ID for Interactor A","Organism ID for Interactor B","Interaction Throughput","Quantitative Score","Post Translational Modification","Phenotypes","Qualifications","Tags","Source Database"
119913,9802,11201,115143,116370,"-","-","DAZAP2","POLI","PRTB","RAD30B|RAD3OB","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119919,163,4292,106672,110438,"-","-","AP2B1","MLH1","ADTB2|AP105B|AP2-BETA|CLAPB1","COCA2|FCC2|HNPCC|HNPCC2|hMLH1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119920,56159,84330,121093,124054,"RP11-291O7.2","-","TEX11","ZNF414","TGC1|TSGA3","ZFP414","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119924,10656,27316,115899,118134,"-","RP11-1114A5.1","KHDRBS3","RBMX","Etle|SALP|SLM-2|SLM2|T-STAR|TSTAR|etoile","HNRNPG|HNRPG|RBMXP1|RBMXRT|RNMX|hnRNP-G","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119934,3306,23640,109538,117168,"-","PP1845","HSPA2","HSPBP1","HSP70-2|HSP70-3","FES1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119940,5866,5866,111804,111804,"-","-","RAB3IL1","RAB3IL1","GRAB","GRAB","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119945,11252,11252,116413,116413,"AL049758.1","AL049758.1","PACSIN2","PACSIN2","SDPII","SDPII","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119950,55068,84708,120385,124219,"RP11-301I17.1","UNQ574/PRO1136","ENOX1","LNX1","CNOX|PIG38|bA64J21.1|cCNOX","LNX|MPDZ|PDZRN2","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119952,8341,56647,113937,121161,"RP1-193B12.10-001","-","HIST1H2BN","BCCIP","H2B/d|H2BFD","TOK-1|TOK1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119960,51684,169792,119676,127988,"RP11-47A8.1","-","SUFU","GLIS3","PRO1280|SUFUH|SUFUXL","ZNF515","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119965,5108,84289,111139,124016,"-","-","PCM1","ING5","PTC4","p28ING5","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119967,10513,493861,115769,138924,"-","-","APPBP2","EID3","APP-BP2|HS.84084|PAT1","NS4EB|NSE4B|NSMCE4B","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119969,22893,57596,116558,121647,"-","-","BAHD1","BEGAIN","-","-","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119971,10127,30008,115431,119026,"-","UNQ200/PRO226","ZNF263","EFEMP2","FPM315|ZKSCAN12|ZSCAN44","ARCL1B|FBLN4|MBP1|UPH1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119976,27316,84708,118134,124219,"RP11-1114A5.1","UNQ574/PRO1136","RBMX","LNX1","HNRNPG|HNRPG|RBMXP1|RBMXRT|RNMX|hnRNP-G","LNX|MPDZ|PDZRN2","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119982,9513,64769,114890,122280,"-","RP3-423B22.2","FXR2","MEAF6","FMR1L2|FXR2P","C1orf149|CENP-28|EAF6|NY-SAR-91","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119985,5725,10241,111697,115535,"-","-","PTBP1","CALCOCO2","HNRNP-I|HNRNPI|HNRPI|PTB|PTB-1|PTB-T|PTB2|PTB3|PTB4|pPTB","NDP52","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119987,30008,117144,119026,125556,"UNQ200/PRO226","-","EFEMP2","CATSPER1","ARCL1B|FBLN4|MBP1|UPH1","CATSPER|SPGF7","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119989,11040,51076,116228,119267,"-","CGI-32","PIM2","CUTC","-","-","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119992,5725,6626,111697,112510,"-","-","PTBP1","SNRPA","HNRNP-I|HNRNPI|HNRPI|PTB|PTB-1|PTB-T|PTB2|PTB3|PTB4|pPTB","Mud1|U1-A|U1A","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119996,9189,10597,114626,115845,"-","-","ZBED1","TRAPPC2B","ALTE|DREF|TRAMP|hDREF","MIP-2A|SEDLP|SEDLP1|TRAPPC2P1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
119997,4292,23650,110438,117177,"-","-","MLH1","TRIM29","COCA2|FCC2|HNPCC|HNPCC2|hMLH1","ATDC","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120002,11180,23580,116350,117115,"-","-","WDR6","CDC42EP4","-","BORG4|CEP4|KAIA1777","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120019,8468,29922,114046,118963,"-","-","FKBP6","NME7","FKBP36","CFAP67|MN23H7|NDK 7|NDK7|nm23-H7","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120021,23650,80705,117177,123267,"-","-","TRIM29","TSGA10","ATDC","CEP4L|CT79","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120027,10403,26258,115675,117644,"-","-","NDC80","BLOC1S6","HEC|HEC1|HsHec1|KNTC2|TID3|hsNDC80","BLOS6|HPS9|PA|PALLID|PLDN","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120028,22934,84708,116594,124219,"-","UNQ574/PRO1136","RPIA","LNX1","RPI","LNX|MPDZ|PDZRN2","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120029,7186,60491,113038,121922,"-","MDS015","TRAF2","NIF3L1","MGC:45012|TRAP|TRAP3","ALS2CR1|CALS-7","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120042,9513,11007,114890,116198,"-","-","FXR2","CCDC85B","FMR1L2|FXR2P","DIPA","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120045,10589,54107,115838,119903,"-","-","DRAP1","POLE3","NC2-alpha","CHARAC17|CHRAC17|YBL1|p17","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120049,23214,23636,116821,117165,"-","-","XPO6","NUP62","EXP6|RANBP20","IBSN|SNDI|p62","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120055,27111,92610,118007,124962,"-","-","SDCBP2","TIFA","SITAC|SITAC18|ST-2","T2BP|T6BP|TIFAA","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120059,11007,147687,116198,127075,"-","-","CCDC85B","ZNF417","DIPA","-","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120060,2189,2553,108484,108827,"-","-","FANCG","GABPB1","FAG|XRCC9","BABPB2|E4TF1|E4TF1-47|E4TF1-53|E4TF1B|GABPB|GABPB2|NRF2B1|NRF2B2","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120065,22893,83755,116558,123756,"-","-","BAHD1","KRTAP4-12","-","KAP4.12|KRTAP4.12","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120067,10403,59349,115675,121890,"-","-","NDC80","KLHL12","HEC|HEC1|HsHec1|KNTC2|TID3|hsNDC80","C3IP1|DKIR","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120068,60491,60491,121922,121922,"MDS015","MDS015","NIF3L1","NIF3L1","ALS2CR1|CALS-7","ALS2CR1|CALS-7","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120070,30008,55367,119026,120645,"UNQ200/PRO226","-","EFEMP2","PIDD1","ARCL1B|FBLN4|MBP1|UPH1","LRDD|PIDD","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120074,9319,57559,114730,121614,"-","-","TRIP13","STAMBPL1","16E1BP","ALMalpha|AMSH-FP|AMSH-LP|bA399O19.2","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120075,11007,153733,116198,127513,"-","-","CCDC85B","CCDC112","DIPA","MBC1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120082,1026,56159,107460,121093,"-","RP11-291O7.2","CDKN1A","TEX11","CAP20|CDKN1|CIP1|MDA-6|P21|SDI1|WAF1|p21CIP1","TGC1|TSGA3","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120084,5359,30008,111373,119026,"-","UNQ200/PRO226","PLSCR1","EFEMP2","MMTRA1B","ARCL1B|FBLN4|MBP1|UPH1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120085,10458,51517,115721,119583,"-","-","BAIAP2","NCKIPSD","BAP2|FLAF3|IRSP53","AF3P21|DIP|DIP1|ORF1|SPIN90|VIP54|WASLBP|WISH","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120087,5866,8766,111804,114299,"-","-","RAB3IL1","RAB11A","GRAB","YL8","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120088,3434,3437,109659,109660,"RP11-168O10.1","RP11-149I23.4","IFIT1","IFIT3","C56|G10P1|IFI-56|IFI-56K|IFI56|IFIT-1|IFNAI1|ISG56|P56|RNM561","CIG-49|GARG-49|IFI60|IFIT4|IRG2|ISG60|P60|RIG-G","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120089,9189,11321,114626,116452,"-","HUSSY-23","ZBED1","GPN1","ALTE|DREF|TRAMP|hDREF","ATPBD1A|MBDIN|NTPBP|RPAP4|XAB1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120090,8996,140885,114477,126752,"-","RP4-684O24.2","NOL3","SIRPA","ARC|FCM|MYP|NOP|NOP30","BIT|CD172A|MFR|MYD-1|P84|PTPNS1|SHPS1|SIRP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120091,6303,22980,112210,116629,"-","FKSG26","SAT1","TCF25","DC21|KFSD|KFSDX|SAT|SSAT|SSAT-1","Hulp1|NULP1|PRO2620|hKIAA1049","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120100,7704,55722,113498,120844,"-","-","ZBTB16","CEP72","PLZF|ZNF145","-","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120102,3735,7965,109938,113684,"-","PRO0992","KARS","AIMP2","CMTRIB|DFNB89|KARS1|KARS2|KRS","JTV-1|JTV1|P38","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120104,9319,26086,114730,117539,"-","RP13-270L15.1","TRIP13","GPSM1","16E1BP","AGS3","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120105,6431,10921,112329,116125,"-","-","SRSF6","RNPS1","B52|HEL-S-91|SFRS6|SRP55","E5.1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120108,7186,84708,113038,124219,"-","UNQ574/PRO1136","TRAF2","LNX1","MGC:45012|TRAP|TRAP3","LNX|MPDZ|PDZRN2","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120109,6871,11170,112734,116341,"KL04P","-","TADA2A","FAM107A","ADA2|ADA2A|TADA2L|hADA2","DRR1|TU3A","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120112,3219,83755,109459,123756,"-","-","HOXB9","KRTAP4-12","HOX-2.5|HOX2|HOX2E","KAP4.12|KRTAP4.12","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120116,4188,7376,110353,113222,"RP4-696P19.1","-","MDFI","NR1H2","I-MF|I-mfa","LXR-b|LXRB|NER|NER-I|RIP15|UNR","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120118,9513,414157,114890,135946,"-","-","FXR2","C10orf62","FMR1L2|FXR2P","bA548K23.1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120123,51019,57326,119225,121486,"AD-016","RP11-307C12.2","CCDC53","PBXIP1","CGI-116","HPIP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120125,9513,80318,114890,123231,"-","FKSG21","FXR2","GKAP1","FMR1L2|FXR2P","GKAP42","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120127,3507,55722,109727,120844,"-","-","IGHM","CEP72","AGM1|MU|VH","-","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120129,5528,8500,111520,114072,"-","-","PPP2R5D","PPFIA1","B56D","LIP.1|LIP1|LIPRIN","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120133,7186,27125,113038,118016,"-","HSPC092","TRAF2","AFF4","MGC:45012|TRAP|TRAP3","AF5Q31|MCEF","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120134,7316,9802,113164,115143,"-","-","UBC","DAZAP2","HMG20","PRTB","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","","",""
120137,79036,84289,122501,124016,"-","-","KXD1","ING5","C19orf50|KXDL|MST096|MSTP096","p28ING5","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120142,2670,9260,108938,114682,"-","-","GFAP","PDLIM7","-","LMP1|LMP3","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120146,4110,51619,110284,119641,"-","-","MAGEA11","UBE2D4","CT1.11|MAGE-11|MAGE11|MAGEA-11","HBUCE1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120151,1676,2130,108040,108431,"H13","AC002059.7","DFFA","EWSR1","DFF-45|DFF1|ICAD","EWS|bK984G1.4","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120152,5252,11030,111271,116220,"DASS-97D12.4","-","PHF1","RBPMS","MTF2L2|PCL1|PHF2|TDRD19C|hPHF1","HERMES","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120153,9319,79092,114730,122540,"-","-","TRIP13","CARD14","16E1BP","BIMP2|CARMA2|PRP|PSORS2|PSS1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120158,10174,27316,115475,118134,"-","RP11-1114A5.1","SORBS3","RBMX","SCAM-1|SCAM1|SH3D4","HNRNPG|HNRPG|RBMXP1|RBMXRT|RNMX|hnRNP-G","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120160,1198,57035,107609,121332,"-","HT033","CLK3","RSRP1","PHCLK3|PHCLK3/152","C1orf63|DJ465N24.2.1|NPD014","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120167,2553,8615,108827,114173,"-","-","GABPB1","USO1","BABPB2|E4TF1|E4TF1-47|E4TF1-53|E4TF1B|GABPB|GABPB2|NRF2B1|NRF2B2","P115|TAP|VDP","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120171,6696,9260,112574,114682,"PSEC0156","-","SPP1","PDLIM7","BNSP|BSPI|ETA-1|OPN","LMP1|LMP3","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120172,2771,5359,109033,111373,"-","-","GNAI2","PLSCR1","GIP|GNAI2B|H_LUCA15.1|H_LUCA16.1","MMTRA1B","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120184,27316,202559,118134,128436,"RP11-1114A5.1","RP1-240B8.3","RBMX","KHDRBS2","HNRNPG|HNRPG|RBMXP1|RBMXRT|RNMX|hnRNP-G","SLM-1|SLM1|bA535F17.1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120186,11051,60491,116237,121922,"-","MDS015","NUDT21","NIF3L1","CFIM25|CPSF5","ALS2CR1|CALS-7","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120190,8812,30008,114339,119026,"-","UNQ200/PRO226","CCNK","EFEMP2","CPR4","ARCL1B|FBLN4|MBP1|UPH1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120192,10656,84708,115899,124219,"-","UNQ574/PRO1136","KHDRBS3","LNX1","Etle|SALP|SLM-2|SLM2|T-STAR|TSTAR|etoile","LNX|MPDZ|PDZRN2","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120193,23281,55734,116880,120853,"-","RP5-831D17.3","MTUS2","ZFP64","CAZIP|ICIS|KIAA0774|TIP150","ZNF338","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120196,7138,79156,112992,122574,"-","-","TNNT1","PLEKHF1","ANM|NEM5|STNT|TNT|TNTS","APPD|LAPF|PHAFIN1|ZFYVE15","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120199,5300,83637,111317,123701,"-","HRIHFB2007","PIN1","ZMIZ2","DOD|UBL5","NET27|TRAFIP20|ZIMP7|hZIMP7","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120201,9094,404550,114548,135663,"-","-","UNC119","C16orf74","HRG4|IMD13|POC7|POC7A","-","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120207,1019,1032,107454,107466,"-","-","CDK4","CDKN2D","CMM3|PSK-J3","INK4D|p19|p19-INK4D","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120211,7917,30008,113647,119026,"DADB-70P7.10-021","UNQ200/PRO226","BAG6","EFEMP2","BAG-6|BAT3|D6S52E|G3","ARCL1B|FBLN4|MBP1|UPH1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120213,9129,84705,114577,124216,"-","-","PRPF3","GTPBP3","HPRP3|HPRP3P|PRP3|Prp3p|RP18|SNRNP90","GTPBG3|MSS1|MTGP1|THDF1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120214,56658,80019,121170,123073,"DAAP-385L22.4","-","TRIM39","UBTD1","RNF23|TFP|TRIM39B","-","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120219,8405,151871,113993,127407,"-","-","SPOP","DPPA2","BTBD32|TEF2","CT100|ECAT15-2|PESCRG1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120230,10044,10278,115355,115567,"RP11-56D16.1","-","SH2D3C","EFS","CHAT|NSP3|PRO34088|SHEP1","CAS3|CASS3|EFS1|EFS2|HEFS|SIN","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120231,3104,135927,109349,126438,"RP11-58A11.4","-","ZBTB48","C7orf34","HKR3|ZNF855|pp9964","ctm-1","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120233,7186,91544,113038,124844,"-","PP2243","TRAF2","UBXN11","MGC:45012|TRAP|TRAP3","COA-1|SOC|SOCI|UBXD5","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120234,7536,10521,113368,115776,"-","RP3-434P1.1","SF1","DDX17","BBP|D11S636|MBBP|ZCCHC25|ZFM1|ZNF162","P72|RH70","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120245,1937,196549,108257,128221,"PRO1608","-","EEF1G","EEF1DP3","EF1G|GIG35","-","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120248,10521,51729,115776,119702,"RP3-434P1.1","-","DDX17","WBP11","P72|RH70","NPWBP|PPP1R165|SIPP1|WBP-11","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120253,11007,84708,116198,124219,"-","UNQ574/PRO1136","CCDC85B","LNX1","DIPA","LNX|MPDZ|PDZRN2","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120256,875,9513,107321,114890,"-","-","CBS","FXR2","HIP4","FMR1L2|FXR2P","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120263,9146,149371,114593,127206,"-","-","HGS","EXOC8","HRS","EXO84|Exo84p|SEC84","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120264,27232,60491,118081,121922,"-","MDS015","GNMT","NIF3L1","-","ALS2CR1|CALS-7","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120284,2810,10733,109072,115956,"-","-","SFN","PLK4","YWHAS","SAK|STK18","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120286,3433,3437,109658,109660,"-","RP11-149I23.4","IFIT2","IFIT3","G10P2|GARG-39|IFI-54|IFI-54K|IFI54|IFIT-2|ISG-54 K|ISG-54K|ISG54|P54|cig42","CIG-49|GARG-49|IFI60|IFIT4|IRG2|ISG60|P60|RIG-G","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120291,9802,51545,115143,119601,"-","HSPC189","DAZAP2","ZNF581","PRTB","-","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
120292,5129,11007,111156,116198,"RP11-288G13.1","-","CDK18","CCDC85B","PCTAIRE|PCTAIRE3|PCTK3","DIPA","Two-hybrid","physical","Rual JF (2005)",16189514,"Homo sapiens","Homo sapiens","High Throughput","-","-","-","-","-","BIOGRID"
