Genes,DisGeNET_Term,DisGeNET_Pvalue_Adjusted,GeDiPNet_Term,GeDiPNet_Pvalue_Adjusted,Orphanet_Term,Orphanet_Pvalue_Adjusted,Virus_Host_Term,Virus_Host_Pvalue_Adjusted,Host organism(s)_Intact,Confidence value(s)_Intact,Taxid interactor A_Intact,Taxid interactor B_Intact
COL12A1,Colorectal Carcinoma; Breast Carcinoma; Colorectal Cancer; Malignant mesothelioma; Malignant neoplasm of breast,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0182265588252201; 0.0191435238361999,,,"Atrial septal defect, ostium primum type ORPHA:99106; Arnold-Chiari malformation type I ORPHA:268882; Autosomal recessive nail dysplasia ORPHA:280654; Hereditary arterial and articular multiple calcification syndrome ORPHA:289601; Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504; Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118; SIX2-related frontonasal dysplasia ORPHA:488437; Auriculocondylar syndrome ORPHA:137888; Peters anomaly ORPHA:708; Familial porencephaly ORPHA:99810; Severe generalized junctional epidermolysis bullosa ORPHA:79404; 20p12.3 microdeletion syndrome ORPHA:261295; Benign recurrent intrahepatic cholestasis type 1 ORPHA:99960; Chondrosarcoma ORPHA:55880; Familial progressive hyper- and hypopigmentation ORPHA:280628; Familial progressive hyperpigmentation ORPHA:79146; Greig cephalopolysyndactyly syndrome ORPHA:380; Isolated hyperchlorhidrosis ORPHA:542657; Laryngo-onycho-cutaneous syndrome ORPHA:2407; Pallister-Hall syndrome ORPHA:672; Polysyndactyly ORPHA:93338; Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584; Sensorineural deafness with dilated cardiomyopathy ORPHA:217622; Tibial hemimelia ORPHA:93322; Ulnar-mammary syndrome ORPHA:3138; Axenfeld anomaly ORPHA:98978; Axenfeld-Rieger syndrome ORPHA:782; Congenital short bowel syndrome ORPHA:2301; Myelodysplastic syndrome ORPHA:52688; Papillary renal cell carcinoma ORPHA:319298; Radio-ulnar synostosis-amegakaryocytic thrombocytopenia syndrome ORPHA:71289; Rieger anomaly ORPHA:91483; Brachydactyly type A2 ORPHA:93396; Waardenburg syndrome type 2 ORPHA:895; Bruck syndrome ORPHA:2771; Acute inflammatory demyelinating polyradiculoneuropathy ORPHA:98916; Autosomal dominant Charcot-Marie-Tooth disease type 2L ORPHA:99945; Autosomal dominant distal axonal motor neuropathy-myofibrillar myopathy syndrome ORPHA:476093; Autosomal recessive brachyolmia ORPHA:448242; Autosomal recessive spastic paraplegia type 66 ORPHA:401815; CHST3-related skeletal dysplasia ORPHA:263463; COL4A1-related familial vascular leukoencephalopathy ORPHA:36383; Charcot-Marie-Tooth disease type 1A ORPHA:101081; Charcot-Marie-Tooth disease type 1E ORPHA:90658; Cobblestone lissencephaly without muscular or ocular involvement ORPHA:352682; Congenital plasminogen activator inhibitor type 1 deficiency ORPHA:465; Diaphanospondylodysostosis ORPHA:66637; FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome ORPHA:404451; Familial drusen ORPHA:75376; Familial schizencephaly ORPHA:481986; GAPO syndrome ORPHA:2067; HANAC syndrome ORPHA:73229; Hereditary neuropathy with liability to pressure palsies ORPHA:640; Hereditary papillary renal cell carcinoma ORPHA:47044; Ischiovertebral syndrome ORPHA:85200; Lethal occipital encephalocele-skeletal dysplasia syndrome ORPHA:293925; Mandibulofacial dysostosis with alopecia ORPHA:443995; Myopathic Ehlers-Danlos syndrome ORPHA:536516; NON RARE IN EUROPE: Exfoliation syndrome ORPHA:529819; Nance-Horan syndrome ORPHA:627; Oculocutaneous albinism type 3 ORPHA:79433; Osteofibrous dysplasia ORPHA:488265; Pancreatic hypoplasia-diabetes-congenital heart disease syndrome ORPHA:2255; Pontine autosomal dominant microangiopathy with leukoencephalopathy ORPHA:477749; Primary CD59 deficiency ORPHA:169464; Retinal arterial tortuosity ORPHA:75326; Sorsby pseudoinflammatory fundus dystrophy ORPHA:59181; Spondyloepimetaphyseal dysplasia, PAPSS2 type ORPHA:93282; Steel syndrome ORPHA:438117; Synpolydactyly type 2 ORPHA:295197; Uveal coloboma-cleft lip and palate-intellectual disability ORPHA:1473; Woolly hair-palmoplantar keratoderma syndrome ORPHA:420686; X-linked osteoporosis with fractures ORPHA:391330; Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form ORPHA:79408; Congenital cataract microcornea with corneal opacity ORPHA:289499; Congenital diaphragmatic hernia ORPHA:2140; Dermatofibrosarcoma protuberans ORPHA:31112; Familial primary localized cutaneous amyloidosis ORPHA:353220; Neonatal inflammatory skin and bowel disease ORPHA:294023; Pediatric hepatocellular carcinoma ORPHA:33402; Piebaldism ORPHA:2884; Posterior hypospadias ORPHA:95706; Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721; Trichorhinophalangeal syndrome type 2 ORPHA:502; Erythrokeratodermia variabilis ORPHA:317; Ondine syndrome ORPHA:661",0.0040361447187818; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083744975290613; 0.0092060390928213; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111; 0.020072786018028,,,yeasx,0.37,Homo sapiens;Yersinia pestis,Bacillus anthracis;Homo sapiens;den27
COL5A2,Colorectal Carcinoma; Colorectal Cancer; Carcinogenesis,0.0034602840073026; 0.0149315928814189; 0.0228075668512991,,,"Atrial septal defect, ostium primum type ORPHA:99106; Neonatal diabetes-congenital hypothyroidism-congenital glaucoma-hepatic fibrosis-polycystic kidneys syndrome ORPHA:79118; Atrial septal defect, ostium secundum type ORPHA:99103; Familial porencephaly ORPHA:99810; 20p12.3 microdeletion syndrome ORPHA:261295; Chondrosarcoma ORPHA:55880; Greig cephalopolysyndactyly syndrome ORPHA:380; Pallister-Hall syndrome ORPHA:672; Polysyndactyly ORPHA:93338; Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584; Tibial hemimelia ORPHA:93322; Congenital short bowel syndrome ORPHA:2301; Brachydactyly type A2 ORPHA:93396; Bruck syndrome ORPHA:2771; Autosomal recessive spastic paraplegia type 66 ORPHA:401815; COL4A1-related familial vascular leukoencephalopathy ORPHA:36383; Cobblestone lissencephaly without muscular or ocular involvement ORPHA:352682; Diaphanospondylodysostosis ORPHA:66637; FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome ORPHA:404451; Familial drusen ORPHA:75376; Familial schizencephaly ORPHA:481986; GAPO syndrome ORPHA:2067; HANAC syndrome ORPHA:73229; Ischiovertebral syndrome ORPHA:85200; Mandibulofacial dysostosis with alopecia ORPHA:443995; Myopathic Ehlers-Danlos syndrome ORPHA:536516; NON RARE IN EUROPE: Exfoliation syndrome ORPHA:529819; Pontine autosomal dominant microangiopathy with leukoencephalopathy ORPHA:477749; Retinal arterial tortuosity ORPHA:75326; Sorsby pseudoinflammatory fundus dystrophy ORPHA:59181; Steel syndrome ORPHA:438117; Synpolydactyly type 2 ORPHA:295197; Woolly hair-palmoplantar keratoderma syndrome ORPHA:420686; Autosomal recessive generalized dystrophic epidermolysis bullosa, severe form ORPHA:79408; Dermatofibrosarcoma protuberans ORPHA:31112; Hypoplastic left heart syndrome ORPHA:2248; Matthew-Wood syndrome ORPHA:2470; Piebaldism ORPHA:2884; Posterior hypospadias ORPHA:95706; Rolandic epilepsy-speech dyspraxia syndrome ORPHA:163721; Ondine syndrome ORPHA:661; Tetralogy of Fallot ORPHA:3303",0.0040361447187818; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083744975290613; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.020072786018028; 0.0277610005156803,,,In vitro,0.35,chemical synthesis,Homo sapiens
CORO1A,"Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Squamous cell carcinoma; ovarian neoplasm; Malignant neoplasm of breast; Carcinogenesis; Malignant neoplasm of ovary; Carcinoma, Spindle-Cell",0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0308703957553632,Anaplastic Carcinoma,0.0402286636010764,,,,,Homo sapiens HepaRG hepatoma cell;yeasx,0.35;0.37,Hepatitis delta virus;Homo sapiens,Homo sapiens;Yersinia pestis
CPA4,,,,,Interstitial lung disease-nephrotic syndrome-epidermolysis bullosa syndrome ORPHA:306504; Bamforth-Lazarus syndrome ORPHA:1226; Familial primary localized cutaneous amyloidosis ORPHA:353220,0.00518481975049; 0.0180064224283883; 0.0180064224283883,,,In vitro,0.62,Sabellastarte magnifica,Homo sapiens
CPEB4,Colorectal Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; Adenocarcinoma; Malignant neoplasm of breast,0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0191435238361999,,,,,,,Xenopus laevis,0.4,Homo sapiens,Homo sapiens
CTSD,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Invasive Ductal Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Squamous cell carcinoma; ovarian neoplasm; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of ovary,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545,,,,,,,Homo sapiens QGY7703 hepatocellular carcinoma cell;In vitro;yeasx,0.35;0.37;0.44;0.56,Homo sapiens;Yersinia pestis;canen;chemical synthesis,Homo sapiens;chemical synthesis
CYP24A1,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; melanoma; Adenocarcinoma; Esophageal Neoplasms; ovarian neoplasm; Malignant neoplasm of breast; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,Autosomal recessive infantile hypercalcemia ORPHA:300547; Bamforth-Lazarus syndrome ORPHA:1226,0.0083045131203191; 0.0180064224283883,,,,,,
CYP4F2,Ovarian Carcinoma; Malignant neoplasm of ovary,0.0034602840073026; 0.0277695594716545,,,,,,,yeasx,0.56,Homo sapiens,Homo sapiens
DEPDC1B,,,,,Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome ORPHA:221043; Hereditary breast cancer ORPHA:227535; Chronic atrial and intestinal dysrhythmia syndrome ORPHA:435988; Congenital dyserythropoietic anemia type III ORPHA:98870; Filippi syndrome ORPHA:3255; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Roberts syndrome ORPHA:3103; Stromme syndrome ORPHA:506307; NON RARE IN EUROPE: Lactase non-persistence in adulthood ORPHA:319681; Dedifferentiated liposarcoma ORPHA:99970; Well-differentiated liposarcoma ORPHA:99971,0.0083045131203191; 0.0106988445340883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111; 0.0183145313768111,,,,,,
DMBX1,Proliferative vitreoretinopathy,0.0182265588252201,,,,,,,,,,
DOCK11,Breast Carcinoma,0.0042545616049287,,,,,,,,,,
E2F7,Breast Carcinoma; Squamous cell carcinoma; ovarian neoplasm; Malignant neoplasm of breast,0.0042545616049287; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999,,,Congenital dyserythropoietic anemia type III ORPHA:98870; Filippi syndrome ORPHA:3255; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Stromme syndrome ORPHA:506307; Dedifferentiated liposarcoma ORPHA:99970; Well-differentiated liposarcoma ORPHA:99971,0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111; 0.0183145313768111,,,Homo sapiens U2OS osteosarcoma cell;In vitro,0.35;0.54,Homo sapiens,Homo sapiens
EFR3B,Breast Carcinoma,0.0042545616049287,Breast Carcinoma,0.0075861267486594,,,,,,,,
EHF,Ovarian Carcinoma; Tumor Progression; Stomach Carcinoma; Malignant mesothelioma; Malignant neoplasm of stomach; Carcinogenesis; Epithelial ovarian cancer,0.0034602840073026; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0191435238361999; 0.0228075668512991; 0.0387439397151409,,,Severe generalized junctional epidermolysis bullosa ORPHA:79404; Benign recurrent intrahepatic cholestasis type 1 ORPHA:99960; Laryngo-onycho-cutaneous syndrome ORPHA:2407; Autosomal recessive infantile hypercalcemia ORPHA:300547; Partial corpus callosum agenesis-cerebellar vermis hypoplasia with posterior fossa cysts syndrome ORPHA:401959; Junctional epidermolysis bullosa with pyloric atresia ORPHA:79403,0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0180064224283883; 0.0180064224283883,,,In vitro,0.54,Homo sapiens,Homo sapiens
ENC1,Colorectal Carcinoma; Mammary Neoplasms; Carcinogenesis,0.0034602840073026; 0.0034602840073026; 0.0228075668512991,,,,,,,,,,
ENG,"Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Adenocarcinoma; Squamous cell carcinoma; Esophageal Neoplasms; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary; Carcinoma, Spindle-Cell; Epithelial ovarian cancer",0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545; 0.0308703957553632; 0.0387439397151409,Anomalous Pulmonary Artery,0.0075861267486594,,,,,Homo sapiens;Homo sapiens HEK293 embryonic kidney cell;Homo sapiens HeLa S3 epitheloid cervical carcinoma cell;yeasx,0.35;0.37;0.4;0.5,Bacillus anthracis;Homo sapiens;Human papillomavirus type 11;Human papillomavirus type 6b;ade05;chemical synthesis;ebvb9,Homo sapiens
ESCO2,Stomach Carcinoma; Malignant neoplasm of stomach; Carcinogenesis,0.0149315928814189; 0.0191435238361999; 0.0228075668512991,,,Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome ORPHA:221043; Hereditary breast cancer ORPHA:227535; Chronic atrial and intestinal dysrhythmia syndrome ORPHA:435988; Congenital dyserythropoietic anemia type III ORPHA:98870; Filippi syndrome ORPHA:3255; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Roberts syndrome ORPHA:3103; Stromme syndrome ORPHA:506307; NON RARE IN EUROPE: Lactase non-persistence in adulthood ORPHA:319681,0.0083045131203191; 0.0106988445340883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883,,,,,,
FAM111B,,,,,Hereditary fibrosing poikiloderma-tendon contractures-myopathy-pulmonary fibrosis syndrome ORPHA:221043,0.0083045131203191,,,yeasx,0.56,Homo sapiens,Homo sapiens
FGF19,Breast Carcinoma; Tumor Progression; Squamous cell carcinoma; Malignant neoplasm of breast; Carcinogenesis,0.0042545616049287; 0.0149315928814189; 0.0182265588252201; 0.0191435238361999; 0.0228075668512991,,,,,,,,,,
FHIT,"Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Epithelioma; Invasive Ductal Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; Adenocarcinoma; Squamous cell carcinoma; Esophageal Neoplasms; Malignant mesothelioma; ovarian neoplasm; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary; Carcinoma, Spindle-Cell; Urologic Neoplasms; Hematopoietic Neoplasms; Medulloblastoma; Epithelial ovarian cancer; Brain Tumor, Primary; Skin carcinoma; Cancer of Urinary Tract",0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545; 0.0308703957553632; 0.0314665934969085; 0.0334891258932371; 0.0354767239335874; 0.0387439397151409; 0.044151975756427; 0.0482468351695405; 0.0492766532827251,Urinary Tract Cancer; Anaplastic Carcinoma,0.0102679590519094; 0.0402286636010764,,,,,In vitro;yeasx,0.95,Homo sapiens,Homo sapiens
FRAT2,Stomach Carcinoma; Malignant neoplasm of stomach; Carcinogenesis,0.0149315928814189; 0.0191435238361999; 0.0228075668512991,,,,,,,,,,
FZD1,Breast Carcinoma; Invasive carcinoma of breast; Esophageal Neoplasms; ovarian neoplasm; Malignant neoplasm of breast; Malignant neoplasm of esophagus; Medulloblastoma,0.0042545616049287; 0.0149002095788623; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0248454592431097; 0.0354767239335874,,,Unverricht-Lundborg disease ORPHA:308,0.0083744975290613,,,,,,
GAL,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; melanoma; Proliferative vitreoretinopathy; Squamous cell carcinoma; Malignant mesothelioma; Malignant neoplasm of breast; Fibrosarcoma; Malignant neoplasm of stomach; Carcinogenesis,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991,,,,,,,,,,
GLI2,Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive Ductal Breast Carcinoma; Tumor Progression; Stomach Carcinoma; melanoma; Squamous cell carcinoma; Malignant mesothelioma; Malignant neoplasm of breast; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of ovary; Medulloblastoma; Skin carcinoma,0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545; 0.0354767239335874; 0.0482468351695405,,,"SIX2-related frontonasal dysplasia ORPHA:488437; Peters anomaly ORPHA:708; Atrial septal defect, ostium secundum type ORPHA:99103; Familial porencephaly ORPHA:99810; Greig cephalopolysyndactyly syndrome ORPHA:380; Pallister-Hall syndrome ORPHA:672; Polysyndactyly ORPHA:93338; Postaxial polydactyly-anterior pituitary anomalies-facial dysmorphism syndrome ORPHA:420584; Sensorineural deafness with dilated cardiomyopathy ORPHA:217622; Tibial hemimelia ORPHA:93322; Axenfeld anomaly ORPHA:98978; Axenfeld-Rieger syndrome ORPHA:782; Branchiootic syndrome ORPHA:52429; Congenital short bowel syndrome ORPHA:2301; Rieger anomaly ORPHA:91483; Early-onset nuclear cataract ORPHA:98991; Autosomal recessive spastic paraplegia type 66 ORPHA:401815; CHST3-related skeletal dysplasia ORPHA:263463; COL4A1-related familial vascular leukoencephalopathy ORPHA:36383; FBLN1-related developmental delay-central nervous system anomaly-syndactyly syndrome ORPHA:404451; Familial schizencephaly ORPHA:481986; GAPO syndrome ORPHA:2067; HANAC syndrome ORPHA:73229; NON RARE IN EUROPE: Exfoliation syndrome ORPHA:529819; Nance-Horan syndrome ORPHA:627; Pontine autosomal dominant microangiopathy with leukoencephalopathy ORPHA:477749; Retinal arterial tortuosity ORPHA:75326; Steel syndrome ORPHA:438117; Synpolydactyly type 2 ORPHA:295197; Congenital cataract microcornea with corneal opacity ORPHA:289499; Hypoplastic left heart syndrome ORPHA:2248; Matthew-Wood syndrome ORPHA:2470; Piebaldism ORPHA:2884; BOR syndrome ORPHA:107; Ondine syndrome ORPHA:661; Tetralogy of Fallot ORPHA:3303",0.00518481975049; 0.00518481975049; 0.00518481975049; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0083045131203191; 0.0179885731122231; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0180064224283883; 0.0183145313768111; 0.020072786018028; 0.0277610005156803,,,,,,
GPNMB,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Epithelioma; Colorectal Cancer; Tumor Progression; melanoma; Adenocarcinoma; Squamous cell carcinoma; Malignant neoplasm of breast; Carcinogenesis; Malignant neoplasm of ovary,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0191435238361999; 0.0228075668512991; 0.0277695594716545,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,,,,,,,,
GPR15,,,,,Odonto-onycho-dermal dysplasia ORPHA:2721; Schopf-Schulz-Passarge syndrome ORPHA:50944,0.0180064224283883; 0.0180064224283883,,,,,,
GPR37,melanoma; Malignant mesothelioma,0.0149315928814189; 0.0182265588252201,Lymphocytic Leukemia,0.0487679768343083,Oculocutaneous albinism type 3 ORPHA:79433; Congenital cataract microcornea with corneal opacity ORPHA:289499,0.0180064224283883; 0.0180064224283883,,,Homo sapiens A549 lung carcinoma cell;yeasx,0.35;0.37;0.56,Homo sapiens;SARS-CoV-2,Homo sapiens
GRAMD1B,,,Breast Carcinoma; Lymphocytic Leukemia,0.0075861267486594; 0.0487679768343083,,,,,,,,
H2AX,,,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,,,,,Homo sapiens;Homo sapiens CACO2 Caucasian colon adenocarcinoma cell;Homo sapiens HEK293T embryonic kidney cell;Homo sapiens SW480 adenocarcinoma cell;In vitro,0.35;0.4;0.46,Homo sapiens;SARS-CoV-2,Homo sapiens
HPSE,Colorectal Carcinoma; Mammary Neoplasms; Ovarian Carcinoma; Breast Carcinoma; Invasive carcinoma of breast; Epithelioma; Invasive Ductal Breast Carcinoma; Colorectal Cancer; Tumor Progression; Stomach Carcinoma; Retroviridae Infections; melanoma; Adenocarcinoma; Squamous cell carcinoma; Esophageal Neoplasms; Malignant mesothelioma; ovarian neoplasm; Malignant neoplasm of breast; Fibrosarcoma; Malignant neoplasm of stomach; Carcinogenesis; Malignant neoplasm of esophagus; Malignant neoplasm of ovary; Medulloblastoma; Epithelial ovarian cancer,0.0034602840073026; 0.0034602840073026; 0.0034602840073026; 0.0042545616049287; 0.0149002095788623; 0.0149002095788623; 0.0149002095788623; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0149315928814189; 0.0155921563748247; 0.0182265588252201; 0.0182265588252201; 0.0182265588252201; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0191435238361999; 0.0228075668512991; 0.0248454592431097; 0.0277695594716545; 0.0354767239335874; 0.0387439397151409,Breast Carcinoma; Marfan Syndrome; Mammary Neoplasms; Breast Cancer,0.0075861267486594; 0.0133304506157067; 0.0155248163763686; 0.0402286636010764,,,,,Homo sapiens diploid fibroblast;In vitro,0.35;0.4;0.44,chemical synthesis,Homo sapiens
