Genes,DisGeNET_Term,DisGeNET_Pvalue_Adjusted,GeDiPNet_Term,GeDiPNet_Pvalue_Adjusted,Orphanet_Term,Orphanet_Pvalue_Adjusted,Virus_Host_Term,Virus_Host_Pvalue_Adjusted,Host organism(s)_Intact,Confidence value(s)_Intact,Taxid interactor A_Intact,Taxid interactor B_Intact
KIF20A,,,,,"Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Mosaic variegated aneuploidy syndrome ORPHA:1052; 21q22.11q22.12 microdeletion syndrome ORPHA:261323; Adult-onset autosomal dominant leukodystrophy ORPHA:99027; Classic glucose transporter type 1 deficiency syndrome ORPHA:71277; Congenital dyserythropoietic anemia type III ORPHA:98870; Constitutional megaloblastic anemia with severe neurologic disease ORPHA:319651; Currarino syndrome ORPHA:1552; Filippi syndrome ORPHA:3255; Hereditary cryohydrocytosis with reduced stomatin ORPHA:168577; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Microcephaly-lymphedema-chorioretinopathy syndrome ORPHA:2526; PCNA-related progressive neurodegenerative photosensitivity syndrome ORPHA:438134; Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity ORPHA:53583; Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome ORPHA:314394; Stromme syndrome ORPHA:506307; Ear-patella-short stature syndrome ORPHA:2554; Citrullinemia type II ORPHA:247585; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Microcephaly-micromelia syndrome ORPHA:572768; Microcephaly-short stature-limb abnormalities syndrome ORPHA:572773; Mutilating hereditary sensory neuropathy with spastic paraplegia ORPHA:139578; Neonatal intrahepatic cholestasis due to citrin deficiency ORPHA:247598; Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391; X-linked intellectual disability, Snyder type ORPHA:3063; Large congenital melanocytic nevus ORPHA:626; Small cell lung cancer ORPHA:70573",0.0144185025972157; 0.0149557947723539; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0429491792829903,,,,,,
KIFC2,,,,,Otospondylomegaepiphyseal dysplasia ORPHA:1427; Autosomal recessive cerebellar ataxia with late-onset spasticity ORPHA:352641; Autosomal recessive spastic paraplegia type 46 ORPHA:320391; Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924; Adult-onset dystonia-parkinsonism ORPHA:199351; Charcot-Marie-Tooth disease type 2P ORPHA:300319; Charcot-Marie-Tooth disease type 4B3 ORPHA:363981; Congenital thrombotic thrombocytopenic purpura ORPHA:93583; Infantile neuroaxonal dystrophy ORPHA:35069; Lymphangioleiomyomatosis ORPHA:538; Oculocutaneous albinism type 2 ORPHA:79432; Tuberous sclerosis complex ORPHA:805,0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
KLF4,,,,,"Atrial septal defect, sinus venosus type ORPHA:99105; Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960",0.0155394890951578; 0.0414176838632111,,,In vitro,0.54,Homo sapiens,Homo sapiens
LMF2,,,,,"Atrial septal defect, sinus venosus type ORPHA:99105; Familial lipase maturation factor 1 deficiency ORPHA:535453; Susceptibility to infection due to TYK2 deficiency ORPHA:331226; Crisponi syndrome ORPHA:1545; Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088; Barth syndrome ORPHA:111; Charcot-Marie-Tooth disease type 2P ORPHA:300319; Charcot-Marie-Tooth disease type 4B3 ORPHA:363981; Incontinentia pigmenti ORPHA:464; X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612; Intermediate osteopetrosis ORPHA:210110; Multiple endocrine neoplasia type 1 ORPHA:652",0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0473879273649914,,,,,,
LMTK3,,,,,PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066; Paroxysmal exertion-induced dyskinesia ORPHA:98811; 1p36 deletion syndrome ORPHA:1606,0.0155394890951578; 0.0155394890951578; 0.0184072076199886,,,,,,
MAPKAPK2,,,,,"Atrial septal defect, sinus venosus type ORPHA:99105",0.0155394890951578,,,,,,
MIDN,,,,,"Atrial septal defect, sinus venosus type ORPHA:99105",0.0155394890951578,,,,,,
NDC80,,,,,Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Mosaic variegated aneuploidy syndrome ORPHA:1052; 21q22.11q22.12 microdeletion syndrome ORPHA:261323; Adult-onset autosomal dominant leukodystrophy ORPHA:99027; Congenital dyserythropoietic anemia type III ORPHA:98870; Filippi syndrome ORPHA:3255; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Microcephaly-lymphedema-chorioretinopathy syndrome ORPHA:2526; Stromme syndrome ORPHA:506307; Ear-patella-short stature syndrome ORPHA:2554; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897,0.0144185025972157; 0.0149557947723539; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111,,,,,,
NOL3,,,,,Autosomal dominant Charcot-Marie-Tooth disease type 2F ORPHA:99940,0.0414176838632111,,,,,,
NOXA1,,,,,Familial lipase maturation factor 1 deficiency ORPHA:535453,0.0155394890951578,,,,,,
NUAK1,,,,,NON RARE IN EUROPE: Metabolic syndrome ORPHA:411969,0.0429491792829903,,,In vitro,0.44,chemical synthesis,Homo sapiens
NUMBL,,,,,Otospondylomegaepiphyseal dysplasia ORPHA:1427; Spinocerebellar ataxia type 21 ORPHA:98773; Paroxysmal exertion-induced dyskinesia ORPHA:98811; Oculocutaneous albinism type 2 ORPHA:79432,0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111,,,,,,
NXF1,,,,,VPS11-related autosomal recessive hypomyelinating leukodystrophy ORPHA:466934; Megaconial congenital muscular dystrophy ORPHA:280671; Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533; Proximal myopathy with focal depletion of mitochondria ORPHA:521305,0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,In vitro,0.62,Homo sapiens,hhv11
NXPH4,,,,,Classic glucose transporter type 1 deficiency syndrome ORPHA:71277; Hereditary cryohydrocytosis with reduced stomatin ORPHA:168577; Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity ORPHA:53583; Autosomal recessive spondylocostal dysostosis ORPHA:2311,0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0473879273649914,,,,,,
OASL,,,,,Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918; Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691,0.0155394890951578; 0.0155394890951578,,,,,,
OIP5,,,,,"Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Mosaic variegated aneuploidy syndrome ORPHA:1052; Constitutional megaloblastic anemia with severe neurologic disease ORPHA:319651; PCNA-related progressive neurodegenerative photosensitivity syndrome ORPHA:438134; Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome ORPHA:314394; Intrauterine growth restriction-congenital multiple cafe-au-lait macules-increased sister chromatid exchange syndrome ORPHA:508512; Microcephaly-micromelia syndrome ORPHA:572768; Microcephaly-short stature-limb abnormalities syndrome ORPHA:572773; Mutilating hereditary sensory neuropathy with spastic paraplegia ORPHA:139578; X-linked intellectual disability, Snyder type ORPHA:3063",0.0144185025972157; 0.0149557947723539; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
OSBPL7,,,,,Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533,0.0414176838632111,,,,,,
PAN2,,,,,Adult-onset dystonia-parkinsonism ORPHA:199351; Infantile neuroaxonal dystrophy ORPHA:35069,0.0414176838632111; 0.0414176838632111,,,,,,
PDLIM7,,,,,Autosomal dominant spastic paraplegia type 12 ORPHA:100993; Crisponi syndrome ORPHA:1545,0.0144185025972157; 0.0155394890951578,,,,,,
PGS1,,,,,Idiopathic CD4 lymphocytopenia ORPHA:228000; Megaconial congenital muscular dystrophy ORPHA:280671; Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533; Proximal myopathy with focal depletion of mitochondria ORPHA:521305,0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
PITPNM1,,,,,Idiopathic CD4 lymphocytopenia ORPHA:228000; Charcot-Marie-Tooth disease type 4B3 ORPHA:363981,0.0155394890951578; 0.0414176838632111,,,,,,
PLEKHM1,,,,,Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395; Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385; Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530; VPS11-related autosomal recessive hypomyelinating leukodystrophy ORPHA:466934; Intermediate osteopetrosis ORPHA:210110,0.0081550609410495; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111,,,In vitro,0.59,Homo sapiens,chemical synthesis
PLIN3,,,,,Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960,0.0414176838632111,,,,,,
PLK4,,,,,Multinucleated neurons-anhydramnios-renal dysplasia-cerebellar hypoplasia-hydranencephaly syndrome ORPHA:500135; Mosaic variegated aneuploidy syndrome ORPHA:1052; 21q22.11q22.12 microdeletion syndrome ORPHA:261323; Adult-onset autosomal dominant leukodystrophy ORPHA:99027; Congenital dyserythropoietic anemia type III ORPHA:98870; Constitutional megaloblastic anemia with severe neurologic disease ORPHA:319651; Filippi syndrome ORPHA:3255; Lethal fetal brain malformation-duodenal atresia-bilateral renal hypoplasia syndrome ORPHA:444069; Microcephaly-lymphedema-chorioretinopathy syndrome ORPHA:2526; PCNA-related progressive neurodegenerative photosensitivity syndrome ORPHA:438134; Short stature-onychodysplasia-facial dysmorphism-hypotrichosis syndrome ORPHA:314394; Stromme syndrome ORPHA:506307; Intrauterine growth restriction-congenital multiple cafe-au-lait macules-increased sister chromatid exchange syndrome ORPHA:508512; Ear-patella-short stature syndrome ORPHA:2554; Lethal fetal cerebrorenogenitourinary agenesis/hypoplasia syndrome ORPHA:439897; Microcephaly-micromelia syndrome ORPHA:572768; Microcephaly-short stature-limb abnormalities syndrome ORPHA:572773; Primary immunodeficiency with natural-killer cell deficiency and adrenal insufficiency ORPHA:75391; Large congenital melanocytic nevus ORPHA:626; Small cell lung cancer ORPHA:70573,0.0144185025972157; 0.0149557947723539; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0429491792829903,,,Escherichia coli,0.83,Homo sapiens,Homo sapiens
PNMA1,,,,,Charcot-Marie-Tooth disease type 4G ORPHA:99953; Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031,0.0144185025972157; 0.0144185025972157,,,,,,
PPFIA3,,,,,Autosomal dominant spastic paraplegia type 12 ORPHA:100993; Otospondylomegaepiphyseal dysplasia ORPHA:1427; PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066; Paroxysmal exertion-induced dyskinesia ORPHA:98811; Congenital thrombotic thrombocytopenic purpura ORPHA:93583; Oculocutaneous albinism type 2 ORPHA:79432; Autosomal recessive spondylocostal dysostosis ORPHA:2311,0.0144185025972157; 0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0473879273649914,,,,,,
PPP1R13L,,,,,Classic glucose transporter type 1 deficiency syndrome ORPHA:71277; Hereditary cryohydrocytosis with reduced stomatin ORPHA:168577; Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity ORPHA:53583; Autosomal dominant Charcot-Marie-Tooth disease type 2F ORPHA:99940,0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111,,,In vitro,0.68,Homo sapiens,Homo sapiens
PRRT2,,,,,Paroxysmal exertion-induced dyskinesia ORPHA:98811,0.0155394890951578,,,,,,
PRSS16,,,,,Currarino syndrome ORPHA:1552,0.0155394890951578,,,,,,
PTPRU,,,,,Antley-Bixler syndrome ORPHA:83,0.0414176838632111,,,In vitro,0.51,Homo sapiens,Homo sapiens
RAB11FIP3,,,,,Otospondylomegaepiphyseal dysplasia ORPHA:1427; Autosomal recessive cerebellar ataxia with late-onset spasticity ORPHA:352641; Autosomal recessive spastic paraplegia type 46 ORPHA:320391; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231; Spinocerebellar ataxia type 21 ORPHA:98773; 1p36 deletion syndrome ORPHA:1606; Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924; Congenital thrombotic thrombocytopenic purpura ORPHA:93583; Cushing syndrome due to macronodular adrenal hyperplasia ORPHA:189427; NON RARE IN EUROPE: Metabolic syndrome ORPHA:411969,0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0429491792829903,,,Escherichia coli,0.44,Homo sapiens,Homo sapiens
RASA4,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395,0.0036432528126817; 0.0081550609410495,,,,,,
RASGRP2,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Familial isolated pituitary adenoma ORPHA:314777,0.0036432528126817; 0.0414176838632111,,,,,,
REC8,,,,,Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533,0.0414176838632111,,,,,,
RGS11,,,,,Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231,0.0155394890951578,,,,,,
RHPN2,,,,,Currarino syndrome ORPHA:1552,0.0155394890951578,,,,,,
RNF24,,,,,Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385,0.0155394890951578,,,,,,
RPUSD1,,,,,Crisponi syndrome ORPHA:1545; Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088; Incontinentia pigmenti ORPHA:464; X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612; Cushing syndrome due to macronodular adrenal hyperplasia ORPHA:189427; Multiple endocrine neoplasia type 1 ORPHA:652,0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0473879273649914,,,,,,
SEC16A,,,,,Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530; Lymphangioleiomyomatosis ORPHA:538; Tuberous sclerosis complex ORPHA:805,0.0155394890951578; 0.0414176838632111; 0.0414176838632111,,,,,,
SEMA6C,,,,,Autosomal dominant spastic paraplegia type 12 ORPHA:100993; Otospondylomegaepiphyseal dysplasia ORPHA:1427; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231; Spinocerebellar ataxia type 21 ORPHA:98773; Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924; Congenital thrombotic thrombocytopenic purpura ORPHA:93583; Lymphangioleiomyomatosis ORPHA:538; Tuberous sclerosis complex ORPHA:805; NON RARE IN EUROPE: Metabolic syndrome ORPHA:411969,0.0144185025972157; 0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0429491792829903,,,,,,
SERPINH1,,,,,Autosomal dominant Charcot-Marie-Tooth disease type 2F ORPHA:99940,0.0414176838632111,,,,,,
SGSM2,,,,,Otospondylomegaepiphyseal dysplasia ORPHA:1427; Autosomal recessive cerebellar ataxia with late-onset spasticity ORPHA:352641; Autosomal recessive spastic paraplegia type 46 ORPHA:320391; Familial lipase maturation factor 1 deficiency ORPHA:535453; 1p36 deletion syndrome ORPHA:1606; Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924; Adult-onset dystonia-parkinsonism ORPHA:199351; Charcot-Marie-Tooth disease type 2P ORPHA:300319; Congenital thrombotic thrombocytopenic purpura ORPHA:93583; Infantile neuroaxonal dystrophy ORPHA:35069; Lymphangioleiomyomatosis ORPHA:538; Oculocutaneous albinism type 2 ORPHA:79432; Tuberous sclerosis complex ORPHA:805,0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0184072076199886; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
SH2B2,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Autosomal dominant spastic paraplegia type 12 ORPHA:100993; Idiopathic CD4 lymphocytopenia ORPHA:228000,0.0036432528126817; 0.0144185025972157; 0.0155394890951578,,,,,,
SH2D3C,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395; Polyhydramnios-megalencephaly-symptomatic epilepsy syndrome ORPHA:500533; Familial isolated pituitary adenoma ORPHA:314777,0.0036432528126817; 0.0081550609410495; 0.0414176838632111; 0.0414176838632111,,,,,,
SLC16A3,,,,,Crisponi syndrome ORPHA:1545; Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960,0.0155394890951578; 0.0414176838632111,,,,,,
SLC19A2,,,,,Citrullinemia type II ORPHA:247585; Neonatal intrahepatic cholestasis due to citrin deficiency ORPHA:247598,0.0414176838632111; 0.0414176838632111,,,,,,
SNPH,,,,,Charcot-Marie-Tooth disease type 4G ORPHA:99953; Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031; Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231,0.0144185025972157; 0.0144185025972157; 0.0155394890951578,,,,,,
SNX29,,,,,Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395; Intellectual disability-obesity-brain malformations-facial dysmorphism syndrome ORPHA:352530; VPS11-related autosomal recessive hypomyelinating leukodystrophy ORPHA:466934,0.0081550609410495; 0.0155394890951578; 0.0155394890951578,,,,,,
SPSB3,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Familial lipase maturation factor 1 deficiency ORPHA:535453; Idiopathic CD4 lymphocytopenia ORPHA:228000; Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918; Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088; Barth syndrome ORPHA:111; Incontinentia pigmenti ORPHA:464; Megaconial congenital muscular dystrophy ORPHA:280671; Proximal myopathy with focal depletion of mitochondria ORPHA:521305; X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612; Familial isolated pituitary adenoma ORPHA:314777,0.0036432528126817; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
STARD3,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Idiopathic CD4 lymphocytopenia ORPHA:228000; Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088; Barth syndrome ORPHA:111; Charcot-Marie-Tooth disease type 2P ORPHA:300319; Incontinentia pigmenti ORPHA:464; X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612; Intermediate osteopetrosis ORPHA:210110,0.0036432528126817; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
STK11IP,,,,,Idiopathic CD4 lymphocytopenia ORPHA:228000; Susceptibility to infection due to TYK2 deficiency ORPHA:331226; Barth syndrome ORPHA:111; Charcot-Marie-Tooth disease type 2P ORPHA:300319,0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111,,,,,,
SYNGR3,,,,,PRKAR1B-related neurodegenerative dementia with intermediate filaments ORPHA:412066; Paroxysmal exertion-induced dyskinesia ORPHA:98811; Autosomal recessive spondylocostal dysostosis ORPHA:2311,0.0155394890951578; 0.0155394890951578; 0.0473879273649914,,,,,,
SYNPO,,,,,NON RARE IN EUROPE: Metabolic syndrome ORPHA:411969,0.0429491792829903,,,,,,
SYT7,,,,,Antley-Bixler syndrome ORPHA:83,0.0414176838632111,,,,,,
TAOK2,,,,,Otospondylomegaepiphyseal dysplasia ORPHA:1427; Autosomal recessive cerebellar ataxia with late-onset spasticity ORPHA:352641; Autosomal recessive spastic paraplegia type 46 ORPHA:320391; Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924; Charcot-Marie-Tooth disease type 2P ORPHA:300319; Charcot-Marie-Tooth disease type 4B3 ORPHA:363981; Congenital thrombotic thrombocytopenic purpura ORPHA:93583; Cushing syndrome due to macronodular adrenal hyperplasia ORPHA:189427; Lymphangioleiomyomatosis ORPHA:538; Oculocutaneous albinism type 2 ORPHA:79432; Tuberous sclerosis complex ORPHA:805; NON RARE IN EUROPE: Metabolic syndrome ORPHA:411969,0.0144185025972157; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0429491792829903,,,,,,
TCAP,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189,0.0036432528126817,,,,,,
TCIRG1,,,,,Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918; Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691; Susceptibility to infection due to TYK2 deficiency ORPHA:331226; Anhidrotic ectodermal dysplasia-immunodeficiency-osteopetrosis-lymphedema syndrome ORPHA:69088; Incontinentia pigmenti ORPHA:464; Megaconial congenital muscular dystrophy ORPHA:280671; Proximal myopathy with focal depletion of mitochondria ORPHA:521305; Tumor necrosis factor receptor 1 associated periodic syndrome ORPHA:32960; X-linked mendelian susceptibility to mycobacterial diseases due to IKBKG deficiency ORPHA:319612; Intermediate osteopetrosis ORPHA:210110,0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
TLCD1,,,,,Currarino syndrome ORPHA:1552; Citrullinemia type II ORPHA:247585; Neonatal intrahepatic cholestasis due to citrin deficiency ORPHA:247598,0.0155394890951578; 0.0414176838632111; 0.0414176838632111,,,,,,
TMCC2,,,,,Autosomal dominant spastic paraplegia type 12 ORPHA:100993; Charcot-Marie-Tooth disease type 4G ORPHA:99953; Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031; Hereditary sensory and autonomic neuropathy due to TECPR2 mutation ORPHA:320385,0.0144185025972157; 0.0144185025972157; 0.0144185025972157; 0.0155394890951578,,,,,,
TMED1,,,,,Multiple endocrine neoplasia type 1 ORPHA:652,0.0473879273649914,,,,,,
TMEM129,,,,,Autosomal recessive cerebellar ataxia with late-onset spasticity ORPHA:352641; Autosomal recessive spastic paraplegia type 46 ORPHA:320391,0.0155394890951578; 0.0155394890951578,,,,,,
TNFSF9,,,,,Crisponi syndrome ORPHA:1545,0.0155394890951578,,,,,,
TNKS1BP1,,,,,Autosomal dominant Charcot-Marie-Tooth disease type 2F ORPHA:99940; Congenital thrombotic thrombocytopenic purpura ORPHA:93583; Antley-Bixler syndrome ORPHA:83,0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
TPPP,,,,,Resistance to thyroid hormone due to a mutation in thyroid hormone receptor alpha ORPHA:566231; 1p36 deletion syndrome ORPHA:1606,0.0155394890951578; 0.0184072076199886,,,,,,
TRAM2,,,,,"Atrial septal defect, sinus venosus type ORPHA:99105",0.0155394890951578,,,,,,
TREX1,,,,,Predisposition to severe viral infection due to IRF7 deficiency ORPHA:574918; Retinal vasculopathy with cerebral leukoencephalopathy and systemic manifestations ORPHA:247691,0.0155394890951578; 0.0155394890951578,,,,,,
TRIM47,,,,,Autosomal dominant Charcot-Marie-Tooth disease type 2F ORPHA:99940,0.0414176838632111,,,,,,
TRIP10,,,,,Autosomal dominant Charcot-Marie-Tooth disease type 2F ORPHA:99940,0.0414176838632111,,,In vitro,0.74,Homo sapiens,Homo sapiens
TSPAN5,,,,,Charcot-Marie-Tooth disease type 4G ORPHA:99953; Non-spherocytic hemolytic anemia due to hexokinase deficiency ORPHA:90031,0.0144185025972157; 0.0144185025972157,,,,,,
TUBB3,,,,,Classic glucose transporter type 1 deficiency syndrome ORPHA:71277; Hereditary cryohydrocytosis with reduced stomatin ORPHA:168577; Paroxysmal dystonic choreathetosis with episodic ataxia and spasticity ORPHA:53583; Spinocerebellar ataxia type 21 ORPHA:98773; Paroxysmal exertion-induced dyskinesia ORPHA:98811; Autosomal recessive spondylocostal dysostosis ORPHA:2311,0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0473879273649914,,,,,,
TUBGCP6,,,,,Autosomal dominant centronuclear myopathy ORPHA:169189; Homocystinuria due to methylene tetrahydrofolate reductase deficiency ORPHA:395; Autosomal recessive cerebellar ataxia with late-onset spasticity ORPHA:352641; Autosomal recessive spastic paraplegia type 46 ORPHA:320391; Familial lipase maturation factor 1 deficiency ORPHA:535453; Susceptibility to infection due to TYK2 deficiency ORPHA:331226; Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis ORPHA:88924; Adult-onset dystonia-parkinsonism ORPHA:199351; Barth syndrome ORPHA:111; Charcot-Marie-Tooth disease type 4B3 ORPHA:363981; Infantile neuroaxonal dystrophy ORPHA:35069; Megaconial congenital muscular dystrophy ORPHA:280671; Proximal myopathy with focal depletion of mitochondria ORPHA:521305; Lymphangioleiomyomatosis ORPHA:538; Tuberous sclerosis complex ORPHA:805,0.0036432528126817; 0.0081550609410495; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0155394890951578; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111; 0.0414176838632111,,,,,,
UNC119,,,,,Idiopathic CD4 lymphocytopenia ORPHA:228000,0.0155394890951578,,,,,,
